2026-06-16 09:00:09, tokens_remaining: 2458, call: scores, phase: idle
2026-06-16 09:01:09, tokens_remaining: 2457, call: scores, phase: idle
2026-06-16 09:02:10, tokens_remaining: 2456, call: scores, phase: idle
2026-06-16 09:03:11, tokens_remaining: 2455, call: scores, phase: idle
2026-06-16 09:04:11, tokens_remaining: 2454, call: scores, phase: idle
2026-06-16 09:05:12, tokens_remaining: 2453, call: scores, phase: idle
2026-06-16 09:06:13, tokens_remaining: 2452, call: events, phase: idle
2026-06-16 09:07:13, tokens_remaining: 2451, call: scores, phase: idle
2026-06-16 09:08:14, tokens_remaining: 2450, call: scores, phase: idle
2026-06-16 09:09:15, tokens_remaining: 2449, call: scores, phase: idle
2026-06-16 09:10:15, tokens_remaining: 2448, call: scores, phase: idle
2026-06-16 09:11:16, tokens_remaining: 2447, call: scores, phase: idle
2026-06-16 09:12:16, tokens_remaining: 2446, call: scores, phase: idle
2026-06-16 09:13:17, tokens_remaining: 2445, call: scores, phase: idle
2026-06-16 09:14:18, tokens_remaining: 2444, call: scores, phase: idle
2026-06-16 09:15:18, tokens_remaining: 2443, call: scores, phase: idle
2026-06-16 09:16:19, tokens_remaining: 2442, call: events, phase: idle
2026-06-16 09:17:19, tokens_remaining: 2441, call: scores, phase: idle
2026-06-16 09:18:20, tokens_remaining: 2440, call: scores, phase: idle
2026-06-16 09:19:20, tokens_remaining: 2499, call: scores, phase: idle
2026-06-16 09:20:21, tokens_remaining: 2498, call: scores, phase: idle
2026-06-16 09:21:21, tokens_remaining: 2497, call: scores, phase: idle
2026-06-16 09:22:22, tokens_remaining: 2496, call: scores, phase: idle
2026-06-16 09:23:23, tokens_remaining: 2495, call: scores, phase: idle
2026-06-16 09:24:23, tokens_remaining: 2494, call: scores, phase: idle
2026-06-16 09:25:24, tokens_remaining: 2493, call: scores, phase: idle
2026-06-16 09:26:24, tokens_remaining: 2492, call: events, phase: idle
2026-06-16 09:27:25, tokens_remaining: 2491, call: scores, phase: idle
2026-06-16 09:28:26, tokens_remaining: 2490, call: scores, phase: idle
2026-06-16 09:29:26, tokens_remaining: 2489, call: scores, phase: idle
2026-06-16 09:30:27, tokens_remaining: 2488, call: scores, phase: idle
2026-06-16 09:31:27, tokens_remaining: 2487, call: scores, phase: idle
2026-06-16 09:32:35, tokens_remaining: 2486, call: scores, phase: idle
