2026-06-12 15:33:04, tokens_remaining: 1287, call: events, phase: idle
2026-06-12 15:33:04, EVENT: GOAL 21' Jovo Lukic (0-1) [Canada vs Bosnia and Herzegovina]
2026-06-12 15:33:04, EVENT: YELLOW_CARD 11' Alistair Johnston [Canada vs Bosnia and Herzegovina]
2026-06-12 15:33:04, STATE_CHANGE: Canada vs Bosnia and Herzegovina [— -> 1H]
2026-06-12 15:33:05, tokens_remaining: 1286, call: scores, phase: playing
2026-06-12 15:33:07, tokens_remaining: 1285, call: scores, phase: playing
2026-06-12 15:33:08, tokens_remaining: 1284, call: scores, phase: playing
2026-06-12 15:33:09, tokens_remaining: 1283, call: scores, phase: playing
2026-06-12 15:33:11, tokens_remaining: 1282, call: scores, phase: playing
2026-06-12 15:33:12, tokens_remaining: 1281, call: scores, phase: playing
2026-06-12 15:33:13, tokens_remaining: 1280, call: scores, phase: playing
2026-06-12 15:33:15, tokens_remaining: 1279, call: scores, phase: playing
2026-06-12 15:33:16, tokens_remaining: 1278, call: events, phase: playing
2026-06-12 15:33:18, tokens_remaining: 1277, call: scores, phase: playing
2026-06-12 15:33:19, tokens_remaining: 1276, call: scores, phase: playing
2026-06-12 15:33:20, tokens_remaining: 1275, call: scores, phase: playing
2026-06-12 15:33:21, tokens_remaining: 1274, call: scores, phase: playing
2026-06-12 15:33:23, tokens_remaining: 1273, call: scores, phase: playing
2026-06-12 15:33:24, tokens_remaining: 1272, call: scores, phase: playing
2026-06-12 15:33:25, tokens_remaining: 1271, call: scores, phase: playing
2026-06-12 15:33:27, tokens_remaining: 1270, call: scores, phase: playing
2026-06-12 15:33:28, tokens_remaining: 1269, call: scores, phase: playing
2026-06-12 15:33:29, tokens_remaining: 1268, call: events, phase: playing
2026-06-12 15:33:30, tokens_remaining: 1267, call: scores, phase: playing
2026-06-12 15:33:32, tokens_remaining: 1266, call: scores, phase: playing
2026-06-12 15:33:33, tokens_remaining: 1265, call: scores, phase: playing
2026-06-12 15:33:35, tokens_remaining: 1264, call: scores, phase: playing
2026-06-12 15:33:36, tokens_remaining: 1263, call: scores, phase: playing
2026-06-12 15:33:37, tokens_remaining: 1262, call: scores, phase: playing
2026-06-12 15:33:38, tokens_remaining: 1261, call: scores, phase: playing
2026-06-12 15:33:40, tokens_remaining: 1260, call: scores, phase: playing
2026-06-12 15:33:41, tokens_remaining: 1259, call: scores, phase: playing
2026-06-12 15:33:43, tokens_remaining: 1258, call: events, phase: playing
2026-06-12 15:33:44, tokens_remaining: 1257, call: scores, phase: playing
2026-06-12 15:33:45, tokens_remaining: 1256, call: scores, phase: playing
2026-06-12 15:33:47, tokens_remaining: 1255, call: scores, phase: playing
2026-06-12 15:33:48, tokens_remaining: 1254, call: scores, phase: playing
2026-06-12 15:33:50, tokens_remaining: 1253, call: scores, phase: playing
2026-06-12 15:33:51, tokens_remaining: 1252, call: scores, phase: playing
2026-06-12 15:33:52, tokens_remaining: 1251, call: scores, phase: playing
2026-06-12 15:33:54, tokens_remaining: 1250, call: scores, phase: playing
2026-06-12 15:33:55, tokens_remaining: 1249, call: scores, phase: playing
2026-06-12 15:33:56, tokens_remaining: 1248, call: events, phase: playing
2026-06-12 15:33:58, tokens_remaining: 1247, call: scores, phase: playing
2026-06-12 15:33:59, tokens_remaining: 1246, call: scores, phase: playing
2026-06-12 15:34:00, tokens_remaining: 1245, call: scores, phase: playing
2026-06-12 15:34:02, tokens_remaining: 1244, call: scores, phase: playing
2026-06-12 15:34:03, tokens_remaining: 1243, call: scores, phase: playing
2026-06-12 15:34:05, tokens_remaining: 1242, call: scores, phase: playing
2026-06-12 15:34:06, tokens_remaining: 1241, call: scores, phase: playing
2026-06-12 15:34:08, tokens_remaining: 1240, call: scores, phase: playing
2026-06-12 15:34:09, tokens_remaining: 1239, call: scores, phase: playing
2026-06-12 15:34:11, tokens_remaining: 1238, call: events, phase: playing
2026-06-12 15:34:12, tokens_remaining: 1237, call: scores, phase: playing
2026-06-12 15:34:13, tokens_remaining: 1236, call: scores, phase: playing
2026-06-12 15:34:15, tokens_remaining: 1235, call: scores, phase: playing
2026-06-12 15:34:16, tokens_remaining: 1234, call: scores, phase: playing
2026-06-12 15:34:18, tokens_remaining: 1233, call: scores, phase: playing
2026-06-12 15:34:19, tokens_remaining: 1232, call: scores, phase: playing
2026-06-12 15:34:20, tokens_remaining: 1231, call: scores, phase: playing
2026-06-12 15:34:22, tokens_remaining: 1230, call: scores, phase: playing
2026-06-12 15:34:23, tokens_remaining: 1229, call: scores, phase: playing
2026-06-12 15:34:24, tokens_remaining: 1228, call: events, phase: playing
2026-06-12 15:34:26, tokens_remaining: 1227, call: scores, phase: playing
2026-06-12 15:34:27, tokens_remaining: 1226, call: scores, phase: playing
2026-06-12 15:34:28, tokens_remaining: 1225, call: scores, phase: playing
2026-06-12 15:34:30, tokens_remaining: 1224, call: scores, phase: playing
2026-06-12 15:34:31, tokens_remaining: 1223, call: scores, phase: playing
2026-06-12 15:34:32, tokens_remaining: 1222, call: scores, phase: playing
2026-06-12 15:34:34, tokens_remaining: 1221, call: scores, phase: playing
2026-06-12 15:34:35, tokens_remaining: 1220, call: scores, phase: playing
2026-06-12 15:34:36, tokens_remaining: 1219, call: scores, phase: playing
2026-06-12 15:34:38, tokens_remaining: 1218, call: events, phase: playing
2026-06-12 15:34:39, tokens_remaining: 1217, call: scores, phase: playing
