2026-06-16 18:00:07, tokens_remaining: 1762, call: scores, phase: break
2026-06-16 18:00:53, tokens_remaining: 1761, call: scores, phase: break
2026-06-16 18:01:38, tokens_remaining: 1760, call: scores, phase: break
2026-06-16 18:02:23, tokens_remaining: 1759, call: scores, phase: break
2026-06-16 18:03:09, tokens_remaining: 1758, call: scores, phase: break
2026-06-16 18:03:54, tokens_remaining: 1757, call: events, phase: break
2026-06-16 18:04:40, tokens_remaining: 1756, call: scores, phase: break
2026-06-16 18:05:25, tokens_remaining: 1755, call: scores, phase: break
2026-06-16 18:06:10, tokens_remaining: 1754, call: scores, phase: break
2026-06-16 18:06:56, tokens_remaining: 1753, call: scores, phase: break
2026-06-16 18:07:41, tokens_remaining: 1752, call: scores, phase: break
2026-06-16 18:08:26, tokens_remaining: 1751, call: scores, phase: break
2026-06-16 18:08:26, STATE_CHANGE: Iraq vs Norway [HT -> 2H]
2026-06-16 18:08:27, tokens_remaining: 1751, call: scores, phase: playing
2026-06-16 18:08:28, tokens_remaining: 1750, call: scores, phase: playing
2026-06-16 18:08:29, tokens_remaining: 1750, call: scores, phase: playing
2026-06-16 18:08:30, tokens_remaining: 1749, call: events, phase: playing
2026-06-16 18:08:31, tokens_remaining: 1748, call: scores, phase: playing
2026-06-16 18:08:32, tokens_remaining: 1748, call: scores, phase: playing
2026-06-16 18:08:34, tokens_remaining: 1747, call: scores, phase: playing
2026-06-16 18:08:35, tokens_remaining: 1747, call: scores, phase: playing
2026-06-16 18:08:36, tokens_remaining: 1746, call: scores, phase: playing
2026-06-16 18:08:37, tokens_remaining: 1746, call: scores, phase: playing
2026-06-16 18:08:38, tokens_remaining: 1745, call: scores, phase: playing
2026-06-16 18:08:39, tokens_remaining: 1744, call: scores, phase: playing
2026-06-16 18:08:41, tokens_remaining: 1743, call: scores, phase: playing
2026-06-16 18:08:42, tokens_remaining: 1742, call: events, phase: playing
2026-06-16 18:08:43, tokens_remaining: 1741, call: scores, phase: playing
2026-06-16 18:08:44, tokens_remaining: 1741, call: scores, phase: playing
2026-06-16 18:08:45, tokens_remaining: 1740, call: scores, phase: playing
2026-06-16 18:08:46, tokens_remaining: 1740, call: scores, phase: playing
2026-06-16 18:08:47, tokens_remaining: 1739, call: scores, phase: playing
2026-06-16 18:08:48, tokens_remaining: 1739, call: scores, phase: playing
2026-06-16 18:08:50, tokens_remaining: 1738, call: scores, phase: playing
2026-06-16 18:08:51, tokens_remaining: 1738, call: scores, phase: playing
2026-06-16 18:08:52, tokens_remaining: 1737, call: scores, phase: playing
2026-06-16 18:08:53, tokens_remaining: 1736, call: events, phase: playing
2026-06-16 18:08:54, tokens_remaining: 1735, call: scores, phase: playing
2026-06-16 18:08:56, tokens_remaining: 1734, call: scores, phase: playing
2026-06-16 18:08:57, tokens_remaining: 1734, call: scores, phase: playing
2026-06-16 18:08:58, tokens_remaining: 1733, call: scores, phase: playing
2026-06-16 18:08:59, tokens_remaining: 1732, call: scores, phase: playing
2026-06-16 18:09:00, tokens_remaining: 1732, call: scores, phase: playing
2026-06-16 18:09:01, tokens_remaining: 1731, call: scores, phase: playing
2026-06-16 18:09:02, tokens_remaining: 1731, call: scores, phase: playing
2026-06-16 18:09:04, tokens_remaining: 1730, call: scores, phase: playing
2026-06-16 18:09:05, tokens_remaining: 1729, call: events, phase: playing
2026-06-16 18:09:06, tokens_remaining: 1728, call: scores, phase: playing
2026-06-16 18:09:07, tokens_remaining: 1728, call: scores, phase: playing
2026-06-16 18:09:08, tokens_remaining: 1727, call: scores, phase: playing
2026-06-16 18:09:10, tokens_remaining: 1726, call: scores, phase: playing
2026-06-16 18:09:10, tokens_remaining: 1726, call: scores, phase: playing
2026-06-16 18:09:12, tokens_remaining: 1725, call: scores, phase: playing
2026-06-16 18:09:13, tokens_remaining: 1725, call: scores, phase: playing
2026-06-16 18:09:14, tokens_remaining: 1724, call: scores, phase: playing
2026-06-16 18:09:15, tokens_remaining: 1724, call: scores, phase: playing
2026-06-16 18:09:16, tokens_remaining: 1723, call: events, phase: playing
2026-06-16 18:09:17, tokens_remaining: 1722, call: scores, phase: playing
2026-06-16 18:09:18, tokens_remaining: 1722, call: scores, phase: playing
2026-06-16 18:09:20, tokens_remaining: 1721, call: scores, phase: playing
2026-06-16 18:09:21, tokens_remaining: 1721, call: scores, phase: playing
2026-06-16 18:09:22, tokens_remaining: 1720, call: scores, phase: playing
2026-06-16 18:09:23, tokens_remaining: 1720, call: scores, phase: playing
2026-06-16 18:09:24, tokens_remaining: 1719, call: scores, phase: playing
2026-06-16 18:09:25, tokens_remaining: 1719, call: scores, phase: playing
