2026-06-16 21:07:08, tokens_remaining: 2106, call: events, phase: idle
2026-06-16 21:07:08, EVENT: GOAL 17' Lionel Messi   (1-0) [Argentina vs Algeria]
2026-06-16 21:07:08, EVENT: EVENT_10 8' Farès Chaïbi [Argentina vs Algeria]
2026-06-16 21:07:08, STATE_CHANGE: Argentina vs Algeria [— -> HT]
2026-06-16 21:07:54, tokens_remaining: 2105, call: scores, phase: break
2026-06-16 21:08:39, tokens_remaining: 2104, call: scores, phase: break
2026-06-16 21:08:39, STATE_CHANGE: Argentina vs Algeria [HT -> 2H]
2026-06-16 21:08:39, tokens_remaining: 2104, call: scores, phase: playing
2026-06-16 21:08:41, tokens_remaining: 2103, call: scores, phase: playing
2026-06-16 21:08:42, tokens_remaining: 2102, call: scores, phase: playing
2026-06-16 21:08:43, tokens_remaining: 2101, call: scores, phase: playing
2026-06-16 21:08:44, tokens_remaining: 2100, call: scores, phase: playing
2026-06-16 21:08:46, tokens_remaining: 2099, call: scores, phase: playing
2026-06-16 21:08:47, tokens_remaining: 2098, call: events, phase: playing
2026-06-16 21:08:47, EVENT: EVENT_10 9' Farès Chaïbi [Argentina vs Algeria]
2026-06-16 21:08:49, tokens_remaining: 2097, call: scores, phase: playing
2026-06-16 21:08:50, tokens_remaining: 2096, call: scores, phase: playing
2026-06-16 21:08:51, tokens_remaining: 2095, call: scores, phase: playing
2026-06-16 21:08:53, tokens_remaining: 2094, call: scores, phase: playing
2026-06-16 21:08:54, tokens_remaining: 2093, call: scores, phase: playing
2026-06-16 21:08:55, tokens_remaining: 2092, call: scores, phase: playing
2026-06-16 21:08:57, tokens_remaining: 2091, call: scores, phase: playing
2026-06-16 21:08:58, tokens_remaining: 2090, call: scores, phase: playing
2026-06-16 21:08:59, tokens_remaining: 2089, call: scores, phase: playing
2026-06-16 21:09:00, tokens_remaining: 2088, call: events, phase: playing
2026-06-16 21:09:00, EVENT: SUBSTITUTION 46' Nahuel Molina [Argentina vs Algeria]
2026-06-16 21:09:02, tokens_remaining: 2087, call: scores, phase: playing
2026-06-16 21:09:03, tokens_remaining: 2086, call: scores, phase: playing
2026-06-16 21:09:04, tokens_remaining: 2085, call: scores, phase: playing
2026-06-16 21:09:06, tokens_remaining: 2084, call: scores, phase: playing
2026-06-16 21:09:07, tokens_remaining: 2083, call: scores, phase: playing
2026-06-16 21:09:08, tokens_remaining: 2082, call: scores, phase: playing
2026-06-16 21:09:10, tokens_remaining: 2081, call: scores, phase: playing
2026-06-16 21:09:11, tokens_remaining: 2080, call: scores, phase: playing
2026-06-16 21:09:12, tokens_remaining: 2079, call: scores, phase: playing
2026-06-16 21:09:14, tokens_remaining: 2078, call: events, phase: playing
2026-06-16 21:09:15, tokens_remaining: 2077, call: scores, phase: playing
2026-06-16 21:09:16, tokens_remaining: 2076, call: scores, phase: playing
2026-06-16 21:09:17, tokens_remaining: 2075, call: scores, phase: playing
2026-06-16 21:09:19, tokens_remaining: 2074, call: scores, phase: playing
2026-06-16 21:09:20, tokens_remaining: 2073, call: scores, phase: playing
2026-06-16 21:09:22, tokens_remaining: 2072, call: scores, phase: playing
2026-06-16 21:09:23, tokens_remaining: 2071, call: scores, phase: playing
2026-06-16 21:09:25, tokens_remaining: 2070, call: scores, phase: playing
2026-06-16 21:09:26, tokens_remaining: 2069, call: scores, phase: playing
2026-06-16 21:09:27, tokens_remaining: 2068, call: events, phase: playing
2026-06-16 21:09:29, tokens_remaining: 2067, call: scores, phase: playing
2026-06-16 21:09:30, tokens_remaining: 2066, call: scores, phase: playing
2026-06-16 21:09:31, tokens_remaining: 2065, call: scores, phase: playing
2026-06-16 21:09:33, tokens_remaining: 2064, call: scores, phase: playing
2026-06-16 21:09:34, tokens_remaining: 2063, call: scores, phase: playing
2026-06-16 21:09:35, tokens_remaining: 2062, call: scores, phase: playing
2026-06-16 21:09:37, tokens_remaining: 2061, call: scores, phase: playing
2026-06-16 21:09:38, tokens_remaining: 2060, call: scores, phase: playing
2026-06-16 21:09:39, tokens_remaining: 2059, call: scores, phase: playing
2026-06-16 21:09:41, tokens_remaining: 2058, call: events, phase: playing
2026-06-16 21:09:42, tokens_remaining: 2057, call: scores, phase: playing
2026-06-16 21:09:43, tokens_remaining: 2056, call: scores, phase: playing
2026-06-16 21:09:44, tokens_remaining: 2055, call: scores, phase: playing
