2026-06-16 00:00:03, tokens_remaining: 2453, call: scores, phase: idle
2026-06-16 00:01:04, tokens_remaining: 2452, call: events, phase: idle
2026-06-16 00:02:04, tokens_remaining: 2451, call: scores, phase: idle
2026-06-16 00:03:06, tokens_remaining: 2450, call: scores, phase: idle
2026-06-16 00:04:07, tokens_remaining: 2449, call: scores, phase: idle
2026-06-16 00:05:07, tokens_remaining: 2448, call: scores, phase: idle
2026-06-16 00:06:08, tokens_remaining: 2447, call: scores, phase: idle
2026-06-16 00:07:08, tokens_remaining: 2446, call: scores, phase: idle
2026-06-16 00:08:09, tokens_remaining: 2445, call: scores, phase: idle
2026-06-16 00:09:09, tokens_remaining: 2444, call: scores, phase: idle
2026-06-16 00:10:10, tokens_remaining: 2443, call: scores, phase: idle
2026-06-16 00:11:11, tokens_remaining: 2442, call: events, phase: idle
2026-06-16 00:12:11, tokens_remaining: 2441, call: scores, phase: idle
2026-06-16 00:13:12, tokens_remaining: 2440, call: scores, phase: idle
2026-06-16 00:14:12, tokens_remaining: 2499, call: scores, phase: idle
2026-06-16 00:15:13, tokens_remaining: 2498, call: scores, phase: idle
2026-06-16 00:16:14, tokens_remaining: 2497, call: scores, phase: idle
2026-06-16 00:17:14, tokens_remaining: 2496, call: scores, phase: idle
2026-06-16 00:18:15, tokens_remaining: 2495, call: scores, phase: idle
2026-06-16 00:19:15, tokens_remaining: 2494, call: scores, phase: idle
2026-06-16 00:20:16, tokens_remaining: 2493, call: scores, phase: idle
2026-06-16 00:21:16, tokens_remaining: 2492, call: events, phase: idle
2026-06-16 00:22:17, tokens_remaining: 2491, call: scores, phase: idle
2026-06-16 00:23:17, tokens_remaining: 2490, call: scores, phase: idle
2026-06-16 00:24:18, tokens_remaining: 2489, call: scores, phase: idle
2026-06-16 00:25:19, tokens_remaining: 2488, call: scores, phase: idle
2026-06-16 00:26:19, tokens_remaining: 2487, call: scores, phase: idle
2026-06-16 00:27:20, tokens_remaining: 2486, call: scores, phase: idle
2026-06-16 00:28:20, tokens_remaining: 2485, call: scores, phase: idle
2026-06-16 00:29:21, tokens_remaining: 2484, call: scores, phase: idle
2026-06-16 00:30:21, tokens_remaining: 2483, call: scores, phase: idle
2026-06-16 00:31:22, tokens_remaining: 2482, call: events, phase: idle
2026-06-16 00:32:22, tokens_remaining: 2481, call: scores, phase: idle
2026-06-16 00:33:23, tokens_remaining: 2480, call: scores, phase: idle
2026-06-16 00:34:24, tokens_remaining: 2479, call: scores, phase: idle
2026-06-16 00:35:24, tokens_remaining: 2478, call: scores, phase: idle
2026-06-16 00:36:25, tokens_remaining: 2477, call: scores, phase: idle
2026-06-16 00:37:25, tokens_remaining: 2476, call: scores, phase: idle
2026-06-16 00:38:26, tokens_remaining: 2475, call: scores, phase: idle
2026-06-16 00:39:26, tokens_remaining: 2474, call: scores, phase: idle
2026-06-16 00:40:27, tokens_remaining: 2473, call: scores, phase: idle
2026-06-16 00:41:28, tokens_remaining: 2472, call: events, phase: idle
2026-06-16 00:42:28, tokens_remaining: 2471, call: scores, phase: idle
2026-06-16 00:43:29, tokens_remaining: 2470, call: scores, phase: idle
2026-06-16 00:44:29, tokens_remaining: 2469, call: scores, phase: idle
2026-06-16 00:45:30, tokens_remaining: 2468, call: scores, phase: idle
2026-06-16 00:46:30, tokens_remaining: 2467, call: scores, phase: idle
2026-06-16 00:47:31, tokens_remaining: 2466, call: scores, phase: idle
2026-06-16 00:48:31, tokens_remaining: 2465, call: scores, phase: idle
2026-06-16 00:49:32, tokens_remaining: 2464, call: scores, phase: idle
2026-06-16 00:50:33, tokens_remaining: 2463, call: scores, phase: idle
2026-06-16 00:51:33, tokens_remaining: 2462, call: events, phase: idle
2026-06-16 00:52:34, tokens_remaining: 2461, call: scores, phase: idle
2026-06-16 00:53:34, tokens_remaining: 2460, call: scores, phase: idle
2026-06-16 00:54:35, tokens_remaining: 2459, call: scores, phase: idle
2026-06-16 00:55:35, tokens_remaining: 2458, call: scores, phase: idle
2026-06-16 00:56:36, tokens_remaining: 2457, call: scores, phase: idle
2026-06-16 00:57:36, tokens_remaining: 2456, call: scores, phase: idle
2026-06-16 00:58:37, tokens_remaining: 2455, call: scores, phase: idle
2026-06-16 00:59:38, tokens_remaining: 2454, call: scores, phase: idle
