2026-06-17 11:00:23, tokens_remaining: 2497, call: scores, phase: idle
2026-06-17 11:01:23, tokens_remaining: 2496, call: scores, phase: idle
2026-06-17 11:02:24, tokens_remaining: 2495, call: scores, phase: idle
2026-06-17 11:03:24, tokens_remaining: 2494, call: events, phase: idle
2026-06-17 11:04:25, tokens_remaining: 2493, call: scores, phase: idle
2026-06-17 11:05:25, tokens_remaining: 2492, call: scores, phase: idle
2026-06-17 11:06:26, tokens_remaining: 2491, call: scores, phase: idle
2026-06-17 11:07:27, tokens_remaining: 2490, call: scores, phase: idle
2026-06-17 11:08:27, tokens_remaining: 2489, call: scores, phase: idle
2026-06-17 11:09:39, tokens_remaining: 2488, call: scores, phase: idle
2026-06-17 11:10:40, tokens_remaining: 2487, call: scores, phase: idle
2026-06-17 11:11:41, tokens_remaining: 2486, call: scores, phase: idle
2026-06-17 11:12:42, tokens_remaining: 2485, call: scores, phase: idle
2026-06-17 11:13:43, tokens_remaining: 2484, call: events, phase: idle
2026-06-17 11:14:43, tokens_remaining: 2483, call: scores, phase: idle
2026-06-17 11:15:44, tokens_remaining: 2482, call: scores, phase: idle
2026-06-17 11:16:44, tokens_remaining: 2481, call: scores, phase: idle
2026-06-17 11:17:45, tokens_remaining: 2480, call: scores, phase: idle
2026-06-17 11:18:45, tokens_remaining: 2479, call: scores, phase: idle
2026-06-17 11:19:46, tokens_remaining: 2478, call: scores, phase: idle
2026-06-17 11:20:47, tokens_remaining: 2477, call: scores, phase: idle
2026-06-17 11:21:47, tokens_remaining: 2476, call: scores, phase: idle
2026-06-17 11:22:48, tokens_remaining: 2475, call: scores, phase: idle
2026-06-17 11:23:48, tokens_remaining: 2474, call: events, phase: idle
2026-06-17 11:24:49, tokens_remaining: 2473, call: scores, phase: idle
2026-06-17 11:25:50, tokens_remaining: 2472, call: scores, phase: idle
2026-06-17 11:26:50, tokens_remaining: 2471, call: scores, phase: idle
2026-06-17 11:27:51, tokens_remaining: 2470, call: scores, phase: idle
2026-06-17 11:28:52, tokens_remaining: 2469, call: scores, phase: idle
2026-06-17 11:29:52, tokens_remaining: 2468, call: scores, phase: idle
2026-06-17 11:30:53, tokens_remaining: 2467, call: scores, phase: idle
2026-06-17 11:31:54, tokens_remaining: 2466, call: scores, phase: idle
2026-06-17 11:32:54, tokens_remaining: 2465, call: scores, phase: idle
2026-06-17 11:33:55, tokens_remaining: 2464, call: events, phase: idle
2026-06-17 11:34:56, tokens_remaining: 2463, call: scores, phase: idle
2026-06-17 11:35:57, tokens_remaining: 2462, call: scores, phase: idle
2026-06-17 11:36:58, tokens_remaining: 2461, call: scores, phase: idle
2026-06-17 11:37:58, tokens_remaining: 2460, call: scores, phase: idle
2026-06-17 11:38:59, tokens_remaining: 2459, call: scores, phase: idle
2026-06-17 11:40:00, tokens_remaining: 2458, call: scores, phase: idle
2026-06-17 11:41:00, tokens_remaining: 2457, call: scores, phase: idle
2026-06-17 11:42:01, tokens_remaining: 2456, call: scores, phase: idle
2026-06-17 11:43:01, tokens_remaining: 2455, call: scores, phase: idle
2026-06-17 11:44:02, tokens_remaining: 2454, call: events, phase: idle
2026-06-17 11:45:03, tokens_remaining: 2453, call: scores, phase: idle
2026-06-17 11:46:03, tokens_remaining: 2452, call: scores, phase: idle
2026-06-17 11:46:03, STATE_CHANGE: Portugal vs Congo DR [— -> NS]
2026-06-17 11:47:04, tokens_remaining: 2451, call: scores, phase: pregame
2026-06-17 11:48:04, tokens_remaining: 2450, call: scores, phase: pregame
2026-06-17 11:49:05, tokens_remaining: 2449, call: scores, phase: pregame
2026-06-17 11:50:06, tokens_remaining: 2448, call: scores, phase: pregame
2026-06-17 11:51:06, tokens_remaining: 2447, call: scores, phase: pregame
2026-06-17 11:52:07, tokens_remaining: 2446, call: scores, phase: pregame
2026-06-17 11:53:07, tokens_remaining: 2445, call: scores, phase: pregame
2026-06-17 11:54:09, tokens_remaining: 2444, call: events, phase: pregame
2026-06-17 11:55:10, tokens_remaining: 2443, call: scores, phase: pregame
2026-06-17 11:56:11, tokens_remaining: 2442, call: scores, phase: pregame
2026-06-17 11:57:12, tokens_remaining: 2441, call: scores, phase: pregame
2026-06-17 11:58:12, tokens_remaining: 2440, call: scores, phase: pregame
2026-06-17 11:59:13, tokens_remaining: 2499, call: scores, phase: pregame
