2026-06-16 18:24:44, tokens_remaining: 1269, call: events, phase: idle
2026-06-16 18:24:44, EVENT: GOAL 29' Erling Haaland (0-1) [Iraq vs Norway]
2026-06-16 18:24:44, EVENT: GOAL 39' Aymen Hussein (1-1) [Iraq vs Norway]
2026-06-16 18:24:44, EVENT: GOAL 43' Erling Haaland (1-2) [Iraq vs Norway]
2026-06-16 18:24:44, EVENT: SUBSTITUTION 59' Marko Farji [Iraq vs Norway]
2026-06-16 18:24:44, EVENT: SUBSTITUTION 59' Zidane Iqbal [Iraq vs Norway]
2026-06-16 18:24:44, STATE_CHANGE: Iraq vs Norway [— -> 2H]
2026-06-16 18:24:46, tokens_remaining: 1268, call: scores, phase: playing
2026-06-16 18:24:47, tokens_remaining: 1268, call: scores, phase: playing
2026-06-16 18:24:48, tokens_remaining: 1267, call: scores, phase: playing
2026-06-16 18:24:48, tokens_remaining: 1267, call: scores, phase: playing
2026-06-16 18:24:49, tokens_remaining: 1266, call: scores, phase: playing
2026-06-16 18:24:50, tokens_remaining: 1266, call: scores, phase: playing
2026-06-16 18:24:50, tokens_remaining: 1265, call: scores, phase: playing
2026-06-16 18:24:51, tokens_remaining: 1265, call: scores, phase: playing
2026-06-16 18:24:52, tokens_remaining: 1264, call: events, phase: playing
2026-06-16 18:24:53, tokens_remaining: 1263, call: scores, phase: playing
2026-06-16 18:24:53, tokens_remaining: 1263, call: scores, phase: playing
2026-06-16 18:24:54, tokens_remaining: 1262, call: scores, phase: playing
2026-06-16 18:24:55, tokens_remaining: 1262, call: scores, phase: playing
2026-06-16 18:24:55, tokens_remaining: 1261, call: scores, phase: playing
2026-06-16 18:24:56, tokens_remaining: 1261, call: scores, phase: playing
2026-06-16 18:24:57, tokens_remaining: 1260, call: scores, phase: playing
2026-06-16 18:24:57, tokens_remaining: 1260, call: scores, phase: playing
2026-06-16 18:24:58, tokens_remaining: 1259, call: scores, phase: playing
2026-06-16 18:24:59, tokens_remaining: 1258, call: events, phase: playing
2026-06-16 18:25:00, tokens_remaining: 1257, call: scores, phase: playing
2026-06-16 18:25:00, tokens_remaining: 1257, call: scores, phase: playing
2026-06-16 18:25:01, tokens_remaining: 1256, call: scores, phase: playing
2026-06-16 18:25:02, tokens_remaining: 1256, call: scores, phase: playing
2026-06-16 18:25:03, tokens_remaining: 1255, call: scores, phase: playing
2026-06-16 18:25:03, tokens_remaining: 1255, call: scores, phase: playing
2026-06-16 18:25:04, tokens_remaining: 1254, call: scores, phase: playing
2026-06-16 18:25:05, tokens_remaining: 1254, call: scores, phase: playing
2026-06-16 18:25:06, tokens_remaining: 1253, call: scores, phase: playing
2026-06-16 18:25:06, tokens_remaining: 1252, call: events, phase: playing
2026-06-16 18:25:07, tokens_remaining: 1251, call: scores, phase: playing
2026-06-16 18:25:08, tokens_remaining: 1251, call: scores, phase: playing
2026-06-16 18:25:09, tokens_remaining: 1250, call: scores, phase: playing
2026-06-16 18:25:09, tokens_remaining: 1250, call: scores, phase: playing
2026-06-16 18:25:10, tokens_remaining: 1249, call: scores, phase: playing
2026-06-16 18:25:11, tokens_remaining: 1249, call: scores, phase: playing
2026-06-16 18:25:11, tokens_remaining: 1248, call: scores, phase: playing
2026-06-16 18:25:12, tokens_remaining: 1248, call: scores, phase: playing
2026-06-16 18:25:13, tokens_remaining: 1247, call: scores, phase: playing
2026-06-16 18:25:14, tokens_remaining: 1246, call: events, phase: playing
2026-06-16 18:25:14, tokens_remaining: 1245, call: scores, phase: playing
2026-06-16 18:25:15, tokens_remaining: 1245, call: scores, phase: playing
2026-06-16 18:25:16, tokens_remaining: 1244, call: scores, phase: playing
2026-06-16 18:25:16, tokens_remaining: 1244, call: scores, phase: playing
2026-06-16 18:25:17, tokens_remaining: 1243, call: scores, phase: playing
2026-06-16 18:25:18, tokens_remaining: 1243, call: scores, phase: playing
2026-06-16 18:25:19, tokens_remaining: 1242, call: scores, phase: playing
2026-06-16 18:25:19, tokens_remaining: 1242, call: scores, phase: playing
2026-06-16 18:25:20, tokens_remaining: 1241, call: scores, phase: playing
2026-06-16 18:25:21, tokens_remaining: 1240, call: events, phase: playing
2026-06-16 18:25:22, tokens_remaining: 1239, call: scores, phase: playing
2026-06-16 18:25:22, tokens_remaining: 1239, call: scores, phase: playing
2026-06-16 18:25:23, tokens_remaining: 1238, call: scores, phase: playing
2026-06-16 18:25:24, tokens_remaining: 1238, call: scores, phase: playing
2026-06-16 18:25:24, tokens_remaining: 1237, call: scores, phase: playing
2026-06-16 18:25:25, tokens_remaining: 1237, call: scores, phase: playing
2026-06-16 18:25:26, tokens_remaining: 1236, call: scores, phase: playing
2026-06-16 18:25:26, tokens_remaining: 1236, call: scores, phase: playing
2026-06-16 18:25:27, tokens_remaining: 1235, call: scores, phase: playing
2026-06-16 18:25:28, tokens_remaining: 1234, call: events, phase: playing
2026-06-16 18:25:29, tokens_remaining: 1233, call: scores, phase: playing
2026-06-16 18:25:29, tokens_remaining: 1233, call: scores, phase: playing
2026-06-16 18:25:30, tokens_remaining: 1232, call: scores, phase: playing
2026-06-16 18:25:31, tokens_remaining: 1232, call: scores, phase: playing
2026-06-16 18:25:32, tokens_remaining: 1231, call: scores, phase: playing
2026-06-16 18:25:32, tokens_remaining: 1231, call: scores, phase: playing
2026-06-16 18:25:33, tokens_remaining: 1230, call: scores, phase: playing
2026-06-16 18:25:35, tokens_remaining: 1229, call: scores, phase: playing
2026-06-16 18:25:35, tokens_remaining: 1229, call: scores, phase: playing
2026-06-16 18:25:36, tokens_remaining: 1228, call: events, phase: playing
2026-06-16 18:25:37, tokens_remaining: 1227, call: scores, phase: playing
2026-06-16 18:25:38, tokens_remaining: 1227, call: scores, phase: playing
2026-06-16 18:25:38, tokens_remaining: 1226, call: scores, phase: playing
2026-06-16 18:25:39, tokens_remaining: 1226, call: scores, phase: playing
2026-06-16 18:25:40, tokens_remaining: 1225, call: scores, phase: playing
2026-06-16 18:25:40, tokens_remaining: 1225, call: scores, phase: playing
2026-06-16 18:25:41, tokens_remaining: 1224, call: scores, phase: playing
2026-06-16 18:25:42, tokens_remaining: 1224, call: scores, phase: playing
2026-06-16 18:25:42, tokens_remaining: 1223, call: scores, phase: playing
2026-06-16 18:25:43, tokens_remaining: 1222, call: events, phase: playing
2026-06-16 18:25:44, tokens_remaining: 1221, call: scores, phase: playing
2026-06-16 18:25:45, tokens_remaining: 1221, call: scores, phase: playing
2026-06-16 18:25:45, tokens_remaining: 1220, call: scores, phase: playing
2026-06-16 18:25:46, tokens_remaining: 1220, call: scores, phase: playing
2026-06-16 18:25:47, tokens_remaining: 1219, call: scores, phase: playing
2026-06-16 18:25:47, tokens_remaining: 1219, call: scores, phase: playing
2026-06-16 18:25:48, tokens_remaining: 1218, call: scores, phase: playing
2026-06-16 18:25:49, tokens_remaining: 1218, call: scores, phase: playing
2026-06-16 18:25:49, tokens_remaining: 1217, call: scores, phase: playing
2026-06-16 18:25:50, tokens_remaining: 1216, call: events, phase: playing
2026-06-16 18:25:51, tokens_remaining: 1215, call: scores, phase: playing
2026-06-16 18:25:52, tokens_remaining: 1215, call: scores, phase: playing
2026-06-16 18:25:52, tokens_remaining: 1214, call: scores, phase: playing
2026-06-16 18:25:53, tokens_remaining: 1214, call: scores, phase: playing
2026-06-16 18:25:54, tokens_remaining: 1213, call: scores, phase: playing
2026-06-16 18:25:54, tokens_remaining: 1213, call: scores, phase: playing
2026-06-16 18:25:55, tokens_remaining: 1212, call: scores, phase: playing
2026-06-16 18:25:56, tokens_remaining: 1212, call: scores, phase: playing
2026-06-16 18:25:57, tokens_remaining: 1211, call: scores, phase: playing
2026-06-16 18:25:57, tokens_remaining: 1210, call: events, phase: playing
2026-06-16 18:25:58, tokens_remaining: 1209, call: scores, phase: playing
2026-06-16 18:25:59, tokens_remaining: 1209, call: scores, phase: playing
2026-06-16 18:26:00, tokens_remaining: 1208, call: scores, phase: playing
2026-06-16 18:26:00, tokens_remaining: 1208, call: scores, phase: playing
2026-06-16 18:26:01, tokens_remaining: 1207, call: scores, phase: playing
