2026-06-13 18:44:33, tokens_remaining: 1946, call: events, phase: idle
2026-06-13 18:44:33, EVENT: GOAL 21' Ismael Saibari (0-1) [Brazil vs Morocco]
2026-06-13 18:44:33, EVENT: GOAL 32' Vinicius Junior (1-1) [Brazil vs Morocco]
2026-06-13 18:44:33, EVENT: YELLOW_CARD 38' Casemiro [Brazil vs Morocco]
2026-06-13 18:44:33, STATE_CHANGE: Brazil vs Morocco [— -> 1H]
2026-06-13 18:44:34, tokens_remaining: 1945, call: scores, phase: playing
2026-06-13 18:44:36, tokens_remaining: 1944, call: scores, phase: playing
2026-06-13 18:44:38, tokens_remaining: 1943, call: scores, phase: playing
2026-06-13 18:44:39, tokens_remaining: 1942, call: scores, phase: playing
2026-06-13 18:44:41, tokens_remaining: 1941, call: scores, phase: playing
2026-06-13 18:44:43, tokens_remaining: 1940, call: scores, phase: playing
2026-06-13 18:44:44, tokens_remaining: 1939, call: scores, phase: playing
2026-06-13 18:44:46, tokens_remaining: 1938, call: scores, phase: playing
2026-06-13 18:44:48, tokens_remaining: 1937, call: events, phase: playing
2026-06-13 18:44:49, tokens_remaining: 1936, call: scores, phase: playing
2026-06-13 18:44:51, tokens_remaining: 1935, call: scores, phase: playing
2026-06-13 18:44:53, tokens_remaining: 1934, call: scores, phase: playing
2026-06-13 18:44:54, tokens_remaining: 1933, call: scores, phase: playing
2026-06-13 18:44:56, tokens_remaining: 1932, call: scores, phase: playing
2026-06-13 18:44:58, tokens_remaining: 1931, call: scores, phase: playing
2026-06-13 18:44:59, tokens_remaining: 1930, call: scores, phase: playing
2026-06-13 18:45:01, tokens_remaining: 1929, call: scores, phase: playing
2026-06-13 18:45:03, tokens_remaining: 1928, call: scores, phase: playing
2026-06-13 18:45:04, tokens_remaining: 1927, call: events, phase: playing
2026-06-13 18:45:06, tokens_remaining: 1926, call: scores, phase: playing
2026-06-13 18:45:08, tokens_remaining: 1925, call: scores, phase: playing
2026-06-13 18:45:10, tokens_remaining: 1924, call: scores, phase: playing
2026-06-13 18:45:11, tokens_remaining: 1923, call: scores, phase: playing
2026-06-13 18:45:13, tokens_remaining: 1922, call: scores, phase: playing
2026-06-13 18:45:15, tokens_remaining: 1921, call: scores, phase: playing
2026-06-13 18:45:16, tokens_remaining: 1920, call: scores, phase: playing
2026-06-13 18:45:18, tokens_remaining: 1919, call: scores, phase: playing
2026-06-13 18:45:20, tokens_remaining: 1918, call: scores, phase: playing
2026-06-13 18:45:21, tokens_remaining: 1917, call: events, phase: playing
2026-06-13 18:45:23, tokens_remaining: 1916, call: scores, phase: playing
2026-06-13 18:45:25, tokens_remaining: 1915, call: scores, phase: playing
2026-06-13 18:45:26, tokens_remaining: 1914, call: scores, phase: playing
2026-06-13 18:45:28, tokens_remaining: 1913, call: scores, phase: playing
2026-06-13 18:45:30, tokens_remaining: 1912, call: scores, phase: playing
2026-06-13 18:45:31, tokens_remaining: 1911, call: scores, phase: playing
2026-06-13 18:45:33, tokens_remaining: 1910, call: scores, phase: playing
2026-06-13 18:45:35, tokens_remaining: 1909, call: scores, phase: playing
2026-06-13 18:45:36, tokens_remaining: 1908, call: scores, phase: playing
2026-06-13 18:45:38, tokens_remaining: 1907, call: events, phase: playing
2026-06-13 18:45:40, tokens_remaining: 1906, call: scores, phase: playing
2026-06-13 18:45:42, tokens_remaining: 1905, call: scores, phase: playing
2026-06-13 18:45:43, tokens_remaining: 1904, call: scores, phase: playing
2026-06-13 18:45:45, tokens_remaining: 1903, call: scores, phase: playing
2026-06-13 18:45:47, tokens_remaining: 1902, call: scores, phase: playing
2026-06-13 18:45:48, tokens_remaining: 1901, call: scores, phase: playing
2026-06-13 18:45:50, tokens_remaining: 1900, call: scores, phase: playing
2026-06-13 18:45:52, tokens_remaining: 1899, call: scores, phase: playing
2026-06-13 18:45:53, tokens_remaining: 1898, call: scores, phase: playing
2026-06-13 18:45:55, tokens_remaining: 1897, call: events, phase: playing
2026-06-13 18:45:57, tokens_remaining: 1896, call: scores, phase: playing
2026-06-13 18:45:58, tokens_remaining: 1895, call: scores, phase: playing
2026-06-13 18:46:00, tokens_remaining: 1894, call: scores, phase: playing
2026-06-13 18:46:02, tokens_remaining: 1893, call: scores, phase: playing
2026-06-13 18:46:03, tokens_remaining: 1892, call: scores, phase: playing
2026-06-13 18:46:05, tokens_remaining: 1891, call: scores, phase: playing
2026-06-13 18:46:07, tokens_remaining: 1890, call: scores, phase: playing
2026-06-13 18:46:08, tokens_remaining: 1889, call: scores, phase: playing
