2026-06-19 14:00:41, tokens_remaining: 2452, call: scores, phase: pregame
2026-06-19 14:01:42, tokens_remaining: 2451, call: scores, phase: pregame
2026-06-19 14:01:42, STATE_CHANGE: USA vs Australia [NS -> 1H]
2026-06-19 14:01:44, tokens_remaining: 2450, call: scores, phase: playing
2026-06-19 14:01:44, tokens_remaining: 2450, call: scores, phase: playing
2026-06-19 14:01:45, tokens_remaining: 2449, call: events, phase: playing
2026-06-19 14:01:46, tokens_remaining: 2448, call: scores, phase: playing
2026-06-19 14:01:46, tokens_remaining: 2448, call: scores, phase: playing
2026-06-19 14:01:46, tokens_remaining: 2448, call: scores, phase: playing
2026-06-19 14:01:47, tokens_remaining: 2447, call: scores, phase: playing
2026-06-19 14:01:47, tokens_remaining: 2447, call: scores, phase: playing
2026-06-19 14:01:48, tokens_remaining: 2447, call: scores, phase: playing
2026-06-19 14:01:48, tokens_remaining: 2446, call: scores, phase: playing
2026-06-19 14:01:48, tokens_remaining: 2446, call: scores, phase: playing
2026-06-19 14:01:49, tokens_remaining: 2446, call: scores, phase: playing
2026-06-19 14:01:49, tokens_remaining: 2445, call: events, phase: playing
2026-06-19 14:01:50, tokens_remaining: 2444, call: scores, phase: playing
2026-06-19 14:01:50, tokens_remaining: 2444, call: scores, phase: playing
2026-06-19 14:01:51, tokens_remaining: 2444, call: scores, phase: playing
2026-06-19 14:01:51, tokens_remaining: 2444, call: scores, phase: playing
2026-06-19 14:01:52, tokens_remaining: 2443, call: scores, phase: playing
2026-06-19 14:01:52, tokens_remaining: 2443, call: scores, phase: playing
2026-06-19 14:01:52, tokens_remaining: 2443, call: scores, phase: playing
2026-06-19 14:01:53, tokens_remaining: 2443, call: scores, phase: playing
2026-06-19 14:01:53, tokens_remaining: 2442, call: scores, phase: playing
2026-06-19 14:01:54, tokens_remaining: 2441, call: events, phase: playing
2026-06-19 14:01:54, tokens_remaining: 2440, call: scores, phase: playing
2026-06-19 14:01:55, tokens_remaining: 2440, call: scores, phase: playing
2026-06-19 14:01:55, tokens_remaining: 2440, call: scores, phase: playing
2026-06-19 14:01:56, tokens_remaining: 2439, call: scores, phase: playing
2026-06-19 14:01:56, tokens_remaining: 2439, call: scores, phase: playing
2026-06-19 14:01:56, tokens_remaining: 2439, call: scores, phase: playing
