2026-06-13 16:39:17, tokens_remaining: 2133, call: events, phase: idle
2026-06-13 16:39:17, EVENT: EVENT_16 17' Breel Embolo (0-1) [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: SUBSTITUTION 60' Ahmed Alaaeldin [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: SUBSTITUTION 60' Karim Boudiaf [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: SUBSTITUTION 60' Ahmed Fathi [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: SUBSTITUTION 66' Johan Manzambi [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: SUBSTITUTION 66' Fabian Rieder [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: YELLOW_CARD 16' Mahmoud Abunada [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: YELLOW_CARD 23' Jassem Gaber [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: YELLOW_CARD 42' Denis Zakaria [Qatar vs Switzerland]
2026-06-13 16:39:17, EVENT: EVENT_10 16' Remo Freuler [Qatar vs Switzerland]
2026-06-13 16:39:17, STATE_CHANGE: Qatar vs Switzerland [— -> 2H]
2026-06-13 16:39:19, tokens_remaining: 2132, call: scores, phase: playing
2026-06-13 16:39:19, tokens_remaining: 2132, call: scores, phase: playing
2026-06-13 16:39:20, tokens_remaining: 2131, call: scores, phase: playing
2026-06-13 16:39:21, tokens_remaining: 2131, call: scores, phase: playing
2026-06-13 16:39:22, tokens_remaining: 2130, call: scores, phase: playing
2026-06-13 16:39:23, tokens_remaining: 2130, call: scores, phase: playing
2026-06-13 16:39:24, tokens_remaining: 2129, call: scores, phase: playing
2026-06-13 16:39:26, tokens_remaining: 2128, call: scores, phase: playing
2026-06-13 16:39:27, tokens_remaining: 2127, call: events, phase: playing
2026-06-13 16:39:28, tokens_remaining: 2126, call: scores, phase: playing
2026-06-13 16:39:28, tokens_remaining: 2126, call: scores, phase: playing
2026-06-13 16:39:30, tokens_remaining: 2125, call: scores, phase: playing
2026-06-13 16:39:30, tokens_remaining: 2125, call: scores, phase: playing
2026-06-13 16:39:31, tokens_remaining: 2124, call: scores, phase: playing
2026-06-13 16:39:32, tokens_remaining: 2124, call: scores, phase: playing
2026-06-13 16:39:33, tokens_remaining: 2123, call: scores, phase: playing
2026-06-13 16:39:34, tokens_remaining: 2123, call: scores, phase: playing
2026-06-13 16:39:35, tokens_remaining: 2122, call: scores, phase: playing
2026-06-13 16:39:36, tokens_remaining: 2121, call: events, phase: playing
2026-06-13 16:39:37, tokens_remaining: 2120, call: scores, phase: playing
2026-06-13 16:39:38, tokens_remaining: 2120, call: scores, phase: playing
