2026-06-17 17:01:24, tokens_remaining: 2472, call: scores, phase: playing
2026-06-17 17:01:25, tokens_remaining: 2472, call: scores, phase: playing
2026-06-17 17:01:26, tokens_remaining: 2471, call: scores, phase: playing
2026-06-17 17:01:27, tokens_remaining: 2471, call: scores, phase: playing
2026-06-17 17:01:28, tokens_remaining: 2470, call: scores, phase: playing
2026-06-17 17:01:28, STATE_CHANGE: England vs Croatia [2H -> FT]
2026-06-17 17:01:38, tokens_remaining: 2469, call: scores, phase: postgame
2026-06-17 17:01:49, tokens_remaining: 2468, call: scores, phase: postgame
2026-06-17 17:01:59, tokens_remaining: 2467, call: scores, phase: postgame
2026-06-17 17:02:09, tokens_remaining: 2466, call: scores, phase: postgame
2026-06-17 17:02:20, tokens_remaining: 2465, call: events, phase: postgame
