2026-06-17 03:00:14, tokens_remaining: 2484, call: scores, phase: idle
2026-06-17 03:01:15, tokens_remaining: 2483, call: scores, phase: idle
2026-06-17 03:02:15, tokens_remaining: 2482, call: scores, phase: idle
2026-06-17 03:03:16, tokens_remaining: 2481, call: scores, phase: idle
2026-06-17 03:04:16, tokens_remaining: 2480, call: scores, phase: idle
2026-06-17 03:05:17, tokens_remaining: 2479, call: scores, phase: idle
2026-06-17 03:06:17, tokens_remaining: 2478, call: scores, phase: idle
2026-06-17 03:07:18, tokens_remaining: 2477, call: scores, phase: idle
2026-06-17 03:08:19, tokens_remaining: 2476, call: events, phase: idle
2026-06-17 03:09:19, tokens_remaining: 2475, call: scores, phase: idle
2026-06-17 03:10:20, tokens_remaining: 2474, call: scores, phase: idle
2026-06-17 03:11:20, tokens_remaining: 2473, call: scores, phase: idle
2026-06-17 03:12:21, tokens_remaining: 2472, call: scores, phase: idle
2026-06-17 03:13:21, tokens_remaining: 2471, call: scores, phase: idle
2026-06-17 03:14:22, tokens_remaining: 2470, call: scores, phase: idle
2026-06-17 03:15:22, tokens_remaining: 2469, call: scores, phase: idle
2026-06-17 03:16:23, tokens_remaining: 2468, call: scores, phase: idle
2026-06-17 03:17:24, tokens_remaining: 2467, call: scores, phase: idle
2026-06-17 03:18:24, tokens_remaining: 2466, call: events, phase: idle
2026-06-17 03:19:25, tokens_remaining: 2465, call: scores, phase: idle
2026-06-17 03:20:25, tokens_remaining: 2464, call: scores, phase: idle
2026-06-17 03:21:26, tokens_remaining: 2463, call: scores, phase: idle
2026-06-17 03:22:27, tokens_remaining: 2462, call: scores, phase: idle
2026-06-17 03:23:27, tokens_remaining: 2461, call: scores, phase: idle
2026-06-17 03:24:28, tokens_remaining: 2460, call: scores, phase: idle
2026-06-17 03:25:28, tokens_remaining: 2459, call: scores, phase: idle
2026-06-17 03:26:29, tokens_remaining: 2458, call: scores, phase: idle
2026-06-17 03:27:29, tokens_remaining: 2457, call: scores, phase: idle
2026-06-17 03:28:30, tokens_remaining: 2456, call: events, phase: idle
2026-06-17 03:29:31, tokens_remaining: 2455, call: scores, phase: idle
2026-06-17 03:30:31, tokens_remaining: 2454, call: scores, phase: idle
2026-06-17 03:31:32, tokens_remaining: 2453, call: scores, phase: idle
2026-06-17 03:32:32, tokens_remaining: 2452, call: scores, phase: idle
2026-06-17 03:33:33, tokens_remaining: 2451, call: scores, phase: idle
2026-06-17 03:34:33, tokens_remaining: 2450, call: scores, phase: idle
2026-06-17 03:35:34, tokens_remaining: 2449, call: scores, phase: idle
2026-06-17 03:36:34, tokens_remaining: 2448, call: scores, phase: idle
2026-06-17 03:37:35, tokens_remaining: 2447, call: scores, phase: idle
2026-06-17 03:38:35, tokens_remaining: 2446, call: events, phase: idle
2026-06-17 03:39:36, tokens_remaining: 2445, call: scores, phase: idle
2026-06-17 03:40:36, tokens_remaining: 2444, call: scores, phase: idle
2026-06-17 03:41:37, tokens_remaining: 2443, call: scores, phase: idle
2026-06-17 03:42:37, tokens_remaining: 2442, call: scores, phase: idle
2026-06-17 03:43:38, tokens_remaining: 2441, call: scores, phase: idle
2026-06-17 03:44:39, tokens_remaining: 2440, call: scores, phase: idle
2026-06-17 03:45:39, tokens_remaining: 2499, call: scores, phase: idle
2026-06-17 03:46:40, tokens_remaining: 2498, call: scores, phase: idle
2026-06-17 03:47:40, tokens_remaining: 2497, call: scores, phase: idle
2026-06-17 03:48:41, tokens_remaining: 2496, call: events, phase: idle
2026-06-17 03:49:41, tokens_remaining: 2495, call: scores, phase: idle
2026-06-17 03:50:42, tokens_remaining: 2494, call: scores, phase: idle
2026-06-17 03:51:42, tokens_remaining: 2493, call: scores, phase: idle
2026-06-17 03:52:43, tokens_remaining: 2492, call: scores, phase: idle
2026-06-17 03:53:43, tokens_remaining: 2491, call: scores, phase: idle
2026-06-17 03:54:44, tokens_remaining: 2490, call: scores, phase: idle
2026-06-17 03:55:45, tokens_remaining: 2489, call: scores, phase: idle
2026-06-17 03:56:45, tokens_remaining: 2488, call: scores, phase: idle
2026-06-17 03:57:46, tokens_remaining: 2487, call: scores, phase: idle
2026-06-17 03:58:46, tokens_remaining: 2486, call: events, phase: idle
2026-06-17 03:59:47, tokens_remaining: 2485, call: scores, phase: idle
