2026-06-12 15:10:13, tokens_remaining: 2246, call: events, phase: idle
2026-06-12 15:10:13, STATE_CHANGE: Canada vs Bosnia and Herzegovina [— -> 1H]
2026-06-12 15:10:14, tokens_remaining: 2245, call: scores, phase: playing
2026-06-12 15:10:15, tokens_remaining: 2244, call: scores, phase: playing
2026-06-12 15:10:17, tokens_remaining: 2243, call: scores, phase: playing
2026-06-12 15:10:18, tokens_remaining: 2242, call: scores, phase: playing
2026-06-12 15:10:19, tokens_remaining: 2241, call: scores, phase: playing
2026-06-12 15:10:21, tokens_remaining: 2240, call: scores, phase: playing
2026-06-12 15:10:22, tokens_remaining: 2239, call: scores, phase: playing
2026-06-12 15:10:23, tokens_remaining: 2238, call: scores, phase: playing
2026-06-12 15:10:25, tokens_remaining: 2237, call: events, phase: playing
2026-06-12 15:10:26, tokens_remaining: 2236, call: scores, phase: playing
2026-06-12 15:10:27, tokens_remaining: 2235, call: scores, phase: playing
2026-06-12 15:10:29, tokens_remaining: 2234, call: scores, phase: playing
2026-06-12 15:10:30, tokens_remaining: 2233, call: scores, phase: playing
2026-06-12 15:10:31, tokens_remaining: 2232, call: scores, phase: playing
2026-06-12 15:10:33, tokens_remaining: 2231, call: scores, phase: playing
2026-06-12 15:10:34, tokens_remaining: 2230, call: scores, phase: playing
2026-06-12 15:10:35, tokens_remaining: 2229, call: scores, phase: playing
2026-06-12 15:10:37, tokens_remaining: 2228, call: scores, phase: playing
2026-06-12 15:10:38, tokens_remaining: 2227, call: events, phase: playing
2026-06-12 15:10:40, tokens_remaining: 2226, call: scores, phase: playing
2026-06-12 15:10:41, tokens_remaining: 2225, call: scores, phase: playing
2026-06-12 15:10:42, tokens_remaining: 2224, call: scores, phase: playing
2026-06-12 15:10:44, tokens_remaining: 2223, call: scores, phase: playing
2026-06-12 15:10:45, tokens_remaining: 2222, call: scores, phase: playing
2026-06-12 15:10:46, tokens_remaining: 2221, call: scores, phase: playing
2026-06-12 15:10:48, tokens_remaining: 2220, call: scores, phase: playing
2026-06-12 15:10:49, tokens_remaining: 2219, call: scores, phase: playing
2026-06-12 15:10:50, tokens_remaining: 2218, call: scores, phase: playing
2026-06-12 15:10:52, tokens_remaining: 2217, call: events, phase: playing
2026-06-12 15:10:53, tokens_remaining: 2216, call: scores, phase: playing
2026-06-12 15:10:54, tokens_remaining: 2215, call: scores, phase: playing
2026-06-12 15:10:56, tokens_remaining: 2214, call: scores, phase: playing
2026-06-12 15:10:57, tokens_remaining: 2213, call: scores, phase: playing
2026-06-12 15:10:58, tokens_remaining: 2212, call: scores, phase: playing
2026-06-12 15:11:00, tokens_remaining: 2211, call: scores, phase: playing
2026-06-12 15:11:01, tokens_remaining: 2210, call: scores, phase: playing
2026-06-12 15:11:02, tokens_remaining: 2209, call: scores, phase: playing
2026-06-12 15:11:04, tokens_remaining: 2208, call: scores, phase: playing
2026-06-12 15:11:05, tokens_remaining: 2207, call: events, phase: playing
2026-06-12 15:11:07, tokens_remaining: 2206, call: scores, phase: playing
2026-06-12 15:11:08, tokens_remaining: 2205, call: scores, phase: playing
2026-06-12 15:11:09, tokens_remaining: 2204, call: scores, phase: playing
2026-06-12 15:11:11, tokens_remaining: 2203, call: scores, phase: playing
2026-06-12 15:11:12, tokens_remaining: 2202, call: scores, phase: playing
2026-06-12 15:11:13, tokens_remaining: 2201, call: scores, phase: playing
2026-06-12 15:11:15, tokens_remaining: 2200, call: scores, phase: playing
2026-06-12 15:11:16, tokens_remaining: 2199, call: scores, phase: playing
2026-06-12 15:11:17, tokens_remaining: 2198, call: scores, phase: playing
2026-06-12 15:11:19, tokens_remaining: 2197, call: events, phase: playing
2026-06-12 15:11:20, tokens_remaining: 2196, call: scores, phase: playing
2026-06-12 15:11:21, tokens_remaining: 2195, call: scores, phase: playing
2026-06-12 15:11:23, tokens_remaining: 2194, call: scores, phase: playing
2026-06-12 15:11:24, tokens_remaining: 2193, call: scores, phase: playing
2026-06-12 15:11:25, tokens_remaining: 2192, call: scores, phase: playing
2026-06-12 15:11:27, tokens_remaining: 2191, call: scores, phase: playing
2026-06-12 15:11:28, tokens_remaining: 2190, call: scores, phase: playing
2026-06-12 15:11:30, tokens_remaining: 2189, call: scores, phase: playing
2026-06-12 15:11:31, tokens_remaining: 2188, call: scores, phase: playing
2026-06-12 15:11:33, tokens_remaining: 2187, call: events, phase: playing
2026-06-12 15:11:34, tokens_remaining: 2186, call: scores, phase: playing
2026-06-12 15:11:35, tokens_remaining: 2185, call: scores, phase: playing
2026-06-12 15:11:37, tokens_remaining: 2184, call: scores, phase: playing
2026-06-12 15:11:38, tokens_remaining: 2183, call: scores, phase: playing
2026-06-12 15:11:39, tokens_remaining: 2182, call: scores, phase: playing
2026-06-12 15:11:41, tokens_remaining: 2181, call: scores, phase: playing
2026-06-12 15:11:42, tokens_remaining: 2180, call: scores, phase: playing
2026-06-12 15:11:43, tokens_remaining: 2179, call: scores, phase: playing
2026-06-12 15:11:45, tokens_remaining: 2178, call: scores, phase: playing
2026-06-12 15:11:46, tokens_remaining: 2177, call: events, phase: playing
2026-06-12 15:11:47, tokens_remaining: 2176, call: scores, phase: playing
2026-06-12 15:11:49, tokens_remaining: 2175, call: scores, phase: playing
2026-06-12 15:11:50, tokens_remaining: 2174, call: scores, phase: playing
2026-06-12 15:11:51, tokens_remaining: 2173, call: scores, phase: playing
2026-06-12 15:11:53, tokens_remaining: 2172, call: scores, phase: playing
2026-06-12 15:11:54, tokens_remaining: 2171, call: scores, phase: playing
2026-06-12 15:11:56, tokens_remaining: 2170, call: scores, phase: playing
2026-06-12 15:11:57, tokens_remaining: 2169, call: scores, phase: playing
2026-06-12 15:11:58, tokens_remaining: 2168, call: scores, phase: playing
2026-06-12 15:12:00, tokens_remaining: 2167, call: events, phase: playing
2026-06-12 15:12:01, tokens_remaining: 2166, call: scores, phase: playing
2026-06-12 15:12:02, tokens_remaining: 2165, call: scores, phase: playing
2026-06-12 15:12:04, tokens_remaining: 2164, call: scores, phase: playing
2026-06-12 15:12:05, tokens_remaining: 2163, call: scores, phase: playing
2026-06-12 15:12:06, tokens_remaining: 2162, call: scores, phase: playing
2026-06-12 15:12:08, tokens_remaining: 2161, call: scores, phase: playing
2026-06-12 15:12:09, tokens_remaining: 2160, call: scores, phase: playing
2026-06-12 15:12:10, tokens_remaining: 2159, call: scores, phase: playing
2026-06-12 15:12:12, tokens_remaining: 2158, call: scores, phase: playing
2026-06-12 15:12:13, tokens_remaining: 2157, call: events, phase: playing
2026-06-12 15:12:14, tokens_remaining: 2156, call: scores, phase: playing
2026-06-12 15:12:16, tokens_remaining: 2155, call: scores, phase: playing
2026-06-12 15:12:17, tokens_remaining: 2154, call: scores, phase: playing
2026-06-12 15:12:19, tokens_remaining: 2153, call: scores, phase: playing
2026-06-12 15:12:20, tokens_remaining: 2152, call: scores, phase: playing
2026-06-12 15:12:21, tokens_remaining: 2151, call: scores, phase: playing
2026-06-12 15:12:23, tokens_remaining: 2150, call: scores, phase: playing
2026-06-12 15:12:24, tokens_remaining: 2149, call: scores, phase: playing
2026-06-12 15:12:25, tokens_remaining: 2148, call: scores, phase: playing
2026-06-12 15:12:27, tokens_remaining: 2147, call: events, phase: playing
2026-06-12 15:12:28, tokens_remaining: 2146, call: scores, phase: playing
2026-06-12 15:12:29, tokens_remaining: 2145, call: scores, phase: playing
2026-06-12 15:12:31, tokens_remaining: 2144, call: scores, phase: playing
2026-06-12 15:12:32, tokens_remaining: 2143, call: scores, phase: playing
2026-06-12 15:12:33, tokens_remaining: 2142, call: scores, phase: playing
2026-06-12 15:12:35, tokens_remaining: 2141, call: scores, phase: playing
2026-06-12 15:12:36, tokens_remaining: 2140, call: scores, phase: playing
2026-06-12 15:12:37, tokens_remaining: 2139, call: scores, phase: playing
2026-06-12 15:12:39, tokens_remaining: 2138, call: scores, phase: playing
2026-06-12 15:12:40, tokens_remaining: 2137, call: events, phase: playing
2026-06-12 15:12:42, tokens_remaining: 2136, call: scores, phase: playing
2026-06-12 15:12:43, tokens_remaining: 2135, call: scores, phase: playing
2026-06-12 15:12:44, tokens_remaining: 2134, call: scores, phase: playing
2026-06-12 15:12:46, tokens_remaining: 2133, call: scores, phase: playing
2026-06-12 15:12:47, tokens_remaining: 2132, call: scores, phase: playing
2026-06-12 15:12:48, tokens_remaining: 2131, call: scores, phase: playing
2026-06-12 15:12:50, tokens_remaining: 2130, call: scores, phase: playing
2026-06-12 15:12:51, tokens_remaining: 2129, call: scores, phase: playing
2026-06-12 15:12:52, tokens_remaining: 2128, call: scores, phase: playing
2026-06-12 15:12:54, tokens_remaining: 2127, call: events, phase: playing
2026-06-12 15:12:55, tokens_remaining: 2126, call: scores, phase: playing
2026-06-12 15:12:56, tokens_remaining: 2125, call: scores, phase: playing
2026-06-12 15:12:58, tokens_remaining: 2124, call: scores, phase: playing
2026-06-12 15:12:59, tokens_remaining: 2123, call: scores, phase: playing
2026-06-12 15:13:01, tokens_remaining: 2122, call: scores, phase: playing
2026-06-12 15:13:02, tokens_remaining: 2121, call: scores, phase: playing
2026-06-12 15:13:03, tokens_remaining: 2120, call: scores, phase: playing
2026-06-12 15:13:05, tokens_remaining: 2119, call: scores, phase: playing
2026-06-12 15:13:06, tokens_remaining: 2118, call: scores, phase: playing
2026-06-12 15:13:07, tokens_remaining: 2117, call: events, phase: playing
2026-06-12 15:13:09, tokens_remaining: 2116, call: scores, phase: playing
2026-06-12 15:13:10, tokens_remaining: 2115, call: scores, phase: playing
2026-06-12 15:13:12, tokens_remaining: 2114, call: scores, phase: playing
2026-06-12 15:13:13, tokens_remaining: 2113, call: scores, phase: playing
2026-06-12 15:13:14, tokens_remaining: 2112, call: scores, phase: playing
2026-06-12 15:13:16, tokens_remaining: 2111, call: scores, phase: playing
2026-06-12 15:13:17, tokens_remaining: 2110, call: scores, phase: playing
2026-06-12 15:13:18, tokens_remaining: 2109, call: scores, phase: playing
2026-06-12 15:13:20, tokens_remaining: 2108, call: scores, phase: playing
2026-06-12 15:13:21, tokens_remaining: 2107, call: events, phase: playing
2026-06-12 15:13:22, tokens_remaining: 2106, call: scores, phase: playing
2026-06-12 15:13:24, tokens_remaining: 2105, call: scores, phase: playing
2026-06-12 15:13:25, tokens_remaining: 2104, call: scores, phase: playing
2026-06-12 15:13:27, tokens_remaining: 2103, call: scores, phase: playing
2026-06-12 15:13:28, tokens_remaining: 2102, call: scores, phase: playing
2026-06-12 15:13:29, tokens_remaining: 2101, call: scores, phase: playing
2026-06-12 15:13:31, tokens_remaining: 2100, call: scores, phase: playing
2026-06-12 15:13:32, tokens_remaining: 2099, call: scores, phase: playing
2026-06-12 15:13:33, tokens_remaining: 2098, call: scores, phase: playing
2026-06-12 15:13:35, tokens_remaining: 2097, call: events, phase: playing
2026-06-12 15:13:36, tokens_remaining: 2096, call: scores, phase: playing
2026-06-12 15:13:37, tokens_remaining: 2095, call: scores, phase: playing
2026-06-12 15:13:39, tokens_remaining: 2094, call: scores, phase: playing
2026-06-12 15:13:40, tokens_remaining: 2093, call: scores, phase: playing
2026-06-12 15:13:41, tokens_remaining: 2092, call: scores, phase: playing
2026-06-12 15:13:43, tokens_remaining: 2091, call: scores, phase: playing
2026-06-12 15:13:44, tokens_remaining: 2090, call: scores, phase: playing
2026-06-12 15:13:46, tokens_remaining: 2089, call: scores, phase: playing
2026-06-12 15:13:47, tokens_remaining: 2088, call: scores, phase: playing
2026-06-12 15:13:48, tokens_remaining: 2087, call: events, phase: playing
2026-06-12 15:13:50, tokens_remaining: 2086, call: scores, phase: playing
2026-06-12 15:13:51, tokens_remaining: 2085, call: scores, phase: playing
2026-06-12 15:13:52, tokens_remaining: 2084, call: scores, phase: playing
2026-06-12 15:13:54, tokens_remaining: 2083, call: scores, phase: playing
2026-06-12 15:13:55, tokens_remaining: 2082, call: scores, phase: playing
2026-06-12 15:13:56, tokens_remaining: 2081, call: scores, phase: playing
2026-06-12 15:13:58, tokens_remaining: 2080, call: scores, phase: playing
2026-06-12 15:13:59, tokens_remaining: 2079, call: scores, phase: playing
2026-06-12 15:14:00, tokens_remaining: 2078, call: scores, phase: playing
2026-06-12 15:14:02, tokens_remaining: 2077, call: events, phase: playing
