2026-06-14 13:00:04, tokens_remaining: 2276, call: scores, phase: break
2026-06-14 13:00:21, tokens_remaining: 2275, call: scores, phase: break
2026-06-14 13:00:50, tokens_remaining: 2274, call: scores, phase: break
2026-06-14 13:01:06, tokens_remaining: 2273, call: scores, phase: break
2026-06-14 13:01:35, tokens_remaining: 2272, call: scores, phase: break
2026-06-14 13:01:51, tokens_remaining: 2271, call: scores, phase: break
2026-06-14 13:02:21, tokens_remaining: 2270, call: scores, phase: break
2026-06-14 13:02:37, tokens_remaining: 2269, call: scores, phase: break
2026-06-14 13:03:06, tokens_remaining: 2268, call: scores, phase: break
2026-06-14 13:03:22, tokens_remaining: 2267, call: scores, phase: break
2026-06-14 13:03:51, tokens_remaining: 2266, call: scores, phase: break
2026-06-14 13:04:08, tokens_remaining: 2265, call: events, phase: break
2026-06-14 13:04:37, tokens_remaining: 2499, call: scores, phase: break
2026-06-14 13:04:53, tokens_remaining: 2498, call: scores, phase: break
2026-06-14 13:05:22, tokens_remaining: 2497, call: scores, phase: break
2026-06-14 13:05:39, tokens_remaining: 2496, call: scores, phase: break
2026-06-14 13:06:08, tokens_remaining: 2495, call: scores, phase: break
2026-06-14 13:06:24, tokens_remaining: 2494, call: scores, phase: break
2026-06-14 13:06:53, tokens_remaining: 2493, call: events, phase: break
2026-06-14 13:07:11, tokens_remaining: 2492, call: scores, phase: break
2026-06-14 13:07:39, tokens_remaining: 2491, call: scores, phase: break
2026-06-14 13:07:56, tokens_remaining: 2490, call: scores, phase: break
2026-06-14 13:08:24, tokens_remaining: 2489, call: scores, phase: break
2026-06-14 13:08:42, tokens_remaining: 2488, call: scores, phase: break
2026-06-14 13:09:10, tokens_remaining: 2487, call: scores, phase: break
2026-06-14 13:09:10, STATE_CHANGE: Germany vs Curacao [HT -> 2H]
2026-06-14 13:09:10, tokens_remaining: 2487, call: scores, phase: playing
2026-06-14 13:09:11, tokens_remaining: 2486, call: scores, phase: playing
2026-06-14 13:09:13, tokens_remaining: 2485, call: scores, phase: playing
2026-06-14 13:09:15, tokens_remaining: 2484, call: scores, phase: playing
2026-06-14 13:09:16, tokens_remaining: 2483, call: scores, phase: playing
2026-06-14 13:09:18, tokens_remaining: 2482, call: scores, phase: playing
2026-06-14 13:09:19, tokens_remaining: 2481, call: events, phase: playing
2026-06-14 13:09:19, EVENT: SUBSTITUTION 46' Jeremy Antonisse [Germany vs Curacao]
2026-06-14 13:09:21, tokens_remaining: 2480, call: scores, phase: playing
2026-06-14 13:09:23, tokens_remaining: 2479, call: scores, phase: playing
2026-06-14 13:09:24, tokens_remaining: 2478, call: scores, phase: playing
2026-06-14 13:09:26, tokens_remaining: 2477, call: scores, phase: playing
2026-06-14 13:09:27, tokens_remaining: 2476, call: scores, phase: break
2026-06-14 13:09:27, STATE_CHANGE: Germany vs Curacao [HT -> 2H]
2026-06-14 13:09:27, tokens_remaining: 2476, call: scores, phase: playing
2026-06-14 13:09:28, tokens_remaining: 2476, call: scores, phase: playing
2026-06-14 13:09:29, tokens_remaining: 2475, call: scores, phase: playing
2026-06-14 13:09:29, tokens_remaining: 2475, call: scores, phase: playing
2026-06-14 13:09:30, tokens_remaining: 2473, call: scores, phase: playing
2026-06-14 13:09:30, tokens_remaining: 2473, call: events, phase: playing
2026-06-14 13:09:30, EVENT: SUBSTITUTION 46' Jeremy Antonisse [Germany vs Curacao]
2026-06-14 13:09:32, tokens_remaining: 2472, call: scores, phase: playing
2026-06-14 13:09:32, tokens_remaining: 2472, call: scores, phase: playing
2026-06-14 13:09:34, tokens_remaining: 2471, call: scores, phase: playing
2026-06-14 13:09:34, tokens_remaining: 2471, call: scores, phase: playing
2026-06-14 13:09:35, tokens_remaining: 2470, call: scores, phase: playing
2026-06-14 13:09:35, tokens_remaining: 2469, call: events, phase: playing
2026-06-14 13:09:37, tokens_remaining: 2468, call: scores, phase: playing
2026-06-14 13:09:37, tokens_remaining: 2468, call: scores, phase: playing
2026-06-14 13:09:38, tokens_remaining: 2467, call: scores, phase: playing
2026-06-14 13:09:38, tokens_remaining: 2467, call: scores, phase: playing
2026-06-14 13:09:40, tokens_remaining: 2466, call: scores, phase: playing
2026-06-14 13:09:40, tokens_remaining: 2466, call: scores, phase: playing
2026-06-14 13:09:42, tokens_remaining: 2465, call: scores, phase: playing
2026-06-14 13:09:42, tokens_remaining: 2465, call: scores, phase: playing
2026-06-14 13:09:43, tokens_remaining: 2464, call: scores, phase: playing
2026-06-14 13:09:43, tokens_remaining: 2464, call: scores, phase: playing
2026-06-14 13:09:45, tokens_remaining: 2463, call: scores, phase: playing
2026-06-14 13:09:45, tokens_remaining: 2463, call: scores, phase: playing
2026-06-14 13:09:47, tokens_remaining: 2461, call: scores, phase: playing
2026-06-14 13:09:47, tokens_remaining: 2461, call: events, phase: playing
2026-06-14 13:09:48, tokens_remaining: 2460, call: scores, phase: playing
2026-06-14 13:09:48, tokens_remaining: 2460, call: scores, phase: playing
2026-06-14 13:09:50, tokens_remaining: 2459, call: scores, phase: playing
2026-06-14 13:09:50, tokens_remaining: 2459, call: scores, phase: playing
2026-06-14 13:09:52, tokens_remaining: 2457, call: scores, phase: playing
2026-06-14 13:09:52, tokens_remaining: 2457, call: events, phase: playing
2026-06-14 13:09:53, tokens_remaining: 2456, call: scores, phase: playing
2026-06-14 13:09:53, tokens_remaining: 2456, call: scores, phase: playing
2026-06-14 13:09:55, tokens_remaining: 2455, call: scores, phase: playing
2026-06-14 13:09:55, GOAL: Germany (Germany 4-1 Curacao)
2026-06-14 13:09:55, tokens_remaining: 2455, call: scores, phase: playing
2026-06-14 13:09:55, GOAL: Germany (Germany 4-1 Curacao)
2026-06-14 13:09:56, tokens_remaining: 2454, call: scores, phase: playing
2026-06-14 13:09:57, tokens_remaining: 2454, call: scores, phase: playing
2026-06-14 13:09:58, tokens_remaining: 2453, call: scores, phase: playing
2026-06-14 13:09:59, tokens_remaining: 2453, call: scores, phase: playing
2026-06-14 13:10:00, tokens_remaining: 2452, call: scores, phase: playing
2026-06-14 13:10:00, tokens_remaining: 2452, call: scores, phase: playing
2026-06-14 13:10:02, tokens_remaining: 2451, call: scores, phase: playing
2026-06-14 13:10:02, tokens_remaining: 2451, call: scores, phase: playing
2026-06-14 13:10:03, tokens_remaining: 2449, call: scores, phase: playing
2026-06-14 13:10:03, tokens_remaining: 2449, call: events, phase: playing
2026-06-14 13:10:05, tokens_remaining: 2448, call: scores, phase: playing
2026-06-14 13:10:05, tokens_remaining: 2448, call: scores, phase: playing
2026-06-14 13:10:06, tokens_remaining: 2447, call: scores, phase: playing
2026-06-14 13:10:06, tokens_remaining: 2447, call: scores, phase: playing
2026-06-14 13:10:08, tokens_remaining: 2445, call: scores, phase: playing
2026-06-14 13:10:08, tokens_remaining: 2445, call: events, phase: playing
2026-06-14 13:10:10, tokens_remaining: 2444, call: scores, phase: playing
2026-06-14 13:10:10, tokens_remaining: 2444, call: scores, phase: playing
2026-06-14 13:10:11, tokens_remaining: 2443, call: scores, phase: playing
2026-06-14 13:10:11, tokens_remaining: 2443, call: scores, phase: playing
2026-06-14 13:10:13, tokens_remaining: 2442, call: scores, phase: playing
2026-06-14 13:10:13, tokens_remaining: 2442, call: scores, phase: playing
2026-06-14 13:10:14, tokens_remaining: 2441, call: scores, phase: playing
2026-06-14 13:10:14, tokens_remaining: 2441, call: scores, phase: playing
2026-06-14 13:10:16, tokens_remaining: 2440, call: scores, phase: playing
2026-06-14 13:10:16, tokens_remaining: 2440, call: scores, phase: playing
2026-06-14 13:10:18, tokens_remaining: 2439, call: scores, phase: playing
2026-06-14 13:10:18, tokens_remaining: 2439, call: scores, phase: playing
2026-06-14 13:10:19, tokens_remaining: 2438, call: scores, phase: playing
2026-06-14 13:10:20, tokens_remaining: 2437, call: events, phase: playing
2026-06-14 13:10:20, EVENT: GOAL 47' Jamal Musiala (4-1) [Germany vs Curacao]
2026-06-14 13:10:21, tokens_remaining: 2436, call: scores, phase: playing
2026-06-14 13:10:21, tokens_remaining: 2436, call: scores, phase: playing
2026-06-14 13:10:23, tokens_remaining: 2435, call: scores, phase: playing
2026-06-14 13:10:23, tokens_remaining: 2435, call: scores, phase: playing
2026-06-14 13:10:24, tokens_remaining: 2433, call: scores, phase: playing
2026-06-14 13:10:24, tokens_remaining: 2433, call: events, phase: playing
2026-06-14 13:10:24, EVENT: GOAL 47' Jamal Musiala (4-1) [Germany vs Curacao]
2026-06-14 13:10:26, tokens_remaining: 2432, call: scores, phase: playing
2026-06-14 13:10:26, tokens_remaining: 2432, call: scores, phase: playing
2026-06-14 13:10:27, tokens_remaining: 2431, call: scores, phase: playing
2026-06-14 13:10:27, tokens_remaining: 2431, call: scores, phase: playing
2026-06-14 13:10:29, tokens_remaining: 2430, call: scores, phase: playing
2026-06-14 13:10:29, tokens_remaining: 2430, call: scores, phase: playing
2026-06-14 13:10:31, tokens_remaining: 2429, call: scores, phase: playing
2026-06-14 13:10:31, tokens_remaining: 2429, call: scores, phase: playing
2026-06-14 13:10:32, tokens_remaining: 2428, call: scores, phase: playing
2026-06-14 13:10:32, tokens_remaining: 2428, call: scores, phase: playing
2026-06-14 13:10:34, tokens_remaining: 2427, call: scores, phase: playing
2026-06-14 13:10:34, tokens_remaining: 2427, call: scores, phase: playing
2026-06-14 13:10:35, tokens_remaining: 2425, call: scores, phase: playing
2026-06-14 13:10:35, tokens_remaining: 2425, call: events, phase: playing
2026-06-14 13:10:37, tokens_remaining: 2424, call: scores, phase: playing
2026-06-14 13:10:37, tokens_remaining: 2424, call: scores, phase: playing
2026-06-14 13:10:39, tokens_remaining: 2423, call: scores, phase: playing
2026-06-14 13:10:39, tokens_remaining: 2423, call: scores, phase: playing
2026-06-14 13:10:40, tokens_remaining: 2421, call: scores, phase: playing
2026-06-14 13:10:40, tokens_remaining: 2421, call: events, phase: playing
2026-06-14 13:10:42, tokens_remaining: 2420, call: scores, phase: playing
2026-06-14 13:10:42, tokens_remaining: 2420, call: scores, phase: playing
2026-06-14 13:10:43, tokens_remaining: 2419, call: scores, phase: playing
2026-06-14 13:10:43, tokens_remaining: 2419, call: scores, phase: playing
2026-06-14 13:10:45, tokens_remaining: 2418, call: scores, phase: playing
2026-06-14 13:10:45, tokens_remaining: 2418, call: scores, phase: playing
2026-06-14 13:10:47, tokens_remaining: 2417, call: scores, phase: playing
2026-06-14 13:10:47, tokens_remaining: 2417, call: scores, phase: playing
2026-06-14 13:10:48, tokens_remaining: 2416, call: scores, phase: playing
2026-06-14 13:10:48, tokens_remaining: 2416, call: scores, phase: playing
2026-06-14 13:10:50, tokens_remaining: 2415, call: scores, phase: playing
2026-06-14 13:10:50, tokens_remaining: 2415, call: scores, phase: playing
2026-06-14 13:10:51, tokens_remaining: 2414, call: scores, phase: playing
2026-06-14 13:10:52, tokens_remaining: 2413, call: events, phase: playing
2026-06-14 13:10:53, tokens_remaining: 2412, call: scores, phase: playing
2026-06-14 13:10:53, tokens_remaining: 2412, call: scores, phase: playing
2026-06-14 13:10:55, tokens_remaining: 2411, call: scores, phase: playing
2026-06-14 13:10:55, tokens_remaining: 2411, call: scores, phase: playing
2026-06-14 13:10:56, tokens_remaining: 2410, call: scores, phase: playing
2026-06-14 13:10:56, tokens_remaining: 2409, call: events, phase: playing
2026-06-14 13:10:58, tokens_remaining: 2408, call: scores, phase: playing
2026-06-14 13:10:58, tokens_remaining: 2408, call: scores, phase: playing
2026-06-14 13:10:59, tokens_remaining: 2407, call: scores, phase: playing
2026-06-14 13:10:59, tokens_remaining: 2407, call: scores, phase: playing
2026-06-14 13:11:01, tokens_remaining: 2406, call: scores, phase: playing
2026-06-14 13:11:01, tokens_remaining: 2406, call: scores, phase: playing
2026-06-14 13:11:03, tokens_remaining: 2405, call: scores, phase: playing
2026-06-14 13:11:03, tokens_remaining: 2405, call: scores, phase: playing
2026-06-14 13:11:04, tokens_remaining: 2404, call: scores, phase: playing
2026-06-14 13:11:04, tokens_remaining: 2404, call: scores, phase: playing
2026-06-14 13:11:06, tokens_remaining: 2403, call: scores, phase: playing
2026-06-14 13:11:06, tokens_remaining: 2403, call: scores, phase: playing
2026-06-14 13:11:07, tokens_remaining: 2401, call: scores, phase: playing
2026-06-14 13:11:07, tokens_remaining: 2401, call: events, phase: playing
2026-06-14 13:11:09, tokens_remaining: 2400, call: scores, phase: playing
2026-06-14 13:11:09, tokens_remaining: 2400, call: scores, phase: playing
2026-06-14 13:11:11, tokens_remaining: 2399, call: scores, phase: playing
2026-06-14 13:11:11, tokens_remaining: 2399, call: scores, phase: playing
2026-06-14 13:11:12, tokens_remaining: 2397, call: scores, phase: playing
2026-06-14 13:11:12, tokens_remaining: 2397, call: events, phase: playing
2026-06-14 13:11:14, tokens_remaining: 2396, call: scores, phase: playing
2026-06-14 13:11:14, tokens_remaining: 2396, call: scores, phase: playing
2026-06-14 13:11:15, tokens_remaining: 2395, call: scores, phase: playing
2026-06-14 13:11:15, tokens_remaining: 2395, call: scores, phase: playing
