2026-06-15 15:38:15, tokens_remaining: 1348, call: events, phase: idle
2026-06-15 15:38:15, EVENT: GOAL 20' Emam Ashour (0-1) [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: EVENT_15 67' Mohamed Hany (1-1) [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: SUBSTITUTION 56' Maxim De Cuyper [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: SUBSTITUTION 56' Nicolas Raskin [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: SUBSTITUTION 66' Romelu Lukaku [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: SUBSTITUTION 71' Ramy Rabia [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: YELLOW_CARD 13' Marwan Ateya [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: YELLOW_CARD 14' Timothy Castagne [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: YELLOW_CARD 34' Ahmed Fatouh [Belgium vs Egypt]
2026-06-15 15:38:15, EVENT: YELLOW_CARD 75' Maxim De Cuyper [Belgium vs Egypt]
2026-06-15 15:38:15, STATE_CHANGE: Belgium vs Egypt [— -> 2H]
2026-06-15 15:38:16, tokens_remaining: 1347, call: scores, phase: playing
2026-06-15 15:38:17, tokens_remaining: 1347, call: scores, phase: playing
2026-06-15 15:38:18, tokens_remaining: 1346, call: scores, phase: playing
2026-06-15 15:38:19, tokens_remaining: 1346, call: scores, phase: playing
2026-06-15 15:38:20, tokens_remaining: 1345, call: scores, phase: playing
2026-06-15 15:38:20, tokens_remaining: 1345, call: scores, phase: playing
2026-06-15 15:38:21, tokens_remaining: 1344, call: scores, phase: playing
2026-06-15 15:38:22, tokens_remaining: 1344, call: scores, phase: playing
2026-06-15 15:38:23, tokens_remaining: 1343, call: events, phase: playing
2026-06-15 15:38:24, tokens_remaining: 1342, call: scores, phase: playing
2026-06-15 15:38:25, tokens_remaining: 1342, call: scores, phase: playing
2026-06-15 15:38:26, tokens_remaining: 1341, call: scores, phase: playing
2026-06-15 15:38:27, tokens_remaining: 1341, call: scores, phase: playing
2026-06-15 15:38:28, tokens_remaining: 1340, call: scores, phase: playing
2026-06-15 15:38:29, tokens_remaining: 1340, call: scores, phase: playing
2026-06-15 15:38:31, tokens_remaining: 1339, call: scores, phase: playing
2026-06-15 15:38:32, tokens_remaining: 1339, call: scores, phase: playing
2026-06-15 15:38:33, tokens_remaining: 1338, call: scores, phase: playing
2026-06-15 15:38:34, tokens_remaining: 1337, call: events, phase: playing
2026-06-15 15:38:35, tokens_remaining: 1336, call: scores, phase: playing
2026-06-15 15:38:36, tokens_remaining: 1336, call: scores, phase: playing
2026-06-15 15:38:37, tokens_remaining: 1335, call: scores, phase: playing
2026-06-15 15:38:38, tokens_remaining: 1335, call: scores, phase: playing
2026-06-15 15:38:40, tokens_remaining: 1334, call: scores, phase: playing
2026-06-15 15:38:40, tokens_remaining: 1334, call: scores, phase: playing
2026-06-15 15:38:42, tokens_remaining: 1333, call: scores, phase: playing
2026-06-15 15:38:42, tokens_remaining: 1333, call: scores, phase: playing
2026-06-15 15:38:44, tokens_remaining: 1332, call: scores, phase: playing
2026-06-15 15:38:45, tokens_remaining: 1331, call: events, phase: playing
2026-06-15 15:38:45, EVENT: SUBSTITUTION 76' Zizo [Belgium vs Egypt]
2026-06-15 15:38:46, tokens_remaining: 1330, call: scores, phase: playing
2026-06-15 15:38:47, tokens_remaining: 1330, call: scores, phase: playing
2026-06-15 15:38:48, tokens_remaining: 1329, call: scores, phase: playing
2026-06-15 15:38:49, tokens_remaining: 1329, call: scores, phase: playing
2026-06-15 15:38:50, tokens_remaining: 1328, call: scores, phase: playing
2026-06-15 15:38:51, tokens_remaining: 1328, call: scores, phase: playing
2026-06-15 15:38:52, tokens_remaining: 1327, call: scores, phase: playing
2026-06-15 15:38:53, tokens_remaining: 1327, call: scores, phase: playing
2026-06-15 15:38:54, tokens_remaining: 1326, call: scores, phase: playing
2026-06-15 15:38:55, tokens_remaining: 1325, call: events, phase: playing
2026-06-15 15:38:56, EVENT: SUBSTITUTION 77' Hamza Abdelkarim [Belgium vs Egypt]
2026-06-15 15:38:57, tokens_remaining: 1324, call: scores, phase: playing
2026-06-15 15:38:58, tokens_remaining: 1324, call: scores, phase: playing
2026-06-15 15:38:59, tokens_remaining: 1323, call: scores, phase: playing
2026-06-15 15:39:00, tokens_remaining: 1323, call: scores, phase: playing
2026-06-15 15:39:01, tokens_remaining: 1322, call: scores, phase: playing
2026-06-15 15:39:02, tokens_remaining: 1322, call: scores, phase: playing
2026-06-15 15:39:03, tokens_remaining: 1321, call: scores, phase: playing
2026-06-15 15:39:04, tokens_remaining: 1321, call: scores, phase: playing
2026-06-15 15:39:05, tokens_remaining: 1320, call: scores, phase: playing
2026-06-15 15:39:06, tokens_remaining: 1319, call: events, phase: playing
2026-06-15 15:39:07, tokens_remaining: 1318, call: scores, phase: playing
2026-06-15 15:39:08, tokens_remaining: 1318, call: scores, phase: playing
2026-06-15 15:39:09, tokens_remaining: 1317, call: scores, phase: playing
2026-06-15 15:39:10, tokens_remaining: 1317, call: scores, phase: playing
2026-06-15 15:39:11, tokens_remaining: 1316, call: scores, phase: playing
2026-06-15 15:39:12, tokens_remaining: 1316, call: scores, phase: playing
2026-06-15 15:39:13, tokens_remaining: 1315, call: scores, phase: playing
2026-06-15 15:39:14, tokens_remaining: 1315, call: scores, phase: playing
2026-06-15 15:39:15, tokens_remaining: 1314, call: scores, phase: playing
2026-06-15 15:39:17, tokens_remaining: 1313, call: events, phase: playing
2026-06-15 15:39:18, tokens_remaining: 1312, call: scores, phase: playing
2026-06-15 15:39:19, tokens_remaining: 1312, call: scores, phase: playing
2026-06-15 15:39:20, tokens_remaining: 1311, call: scores, phase: playing
2026-06-15 15:39:21, tokens_remaining: 1311, call: scores, phase: playing
2026-06-15 15:39:22, tokens_remaining: 1310, call: scores, phase: playing
2026-06-15 15:39:23, tokens_remaining: 1310, call: scores, phase: playing
2026-06-15 15:39:24, tokens_remaining: 1309, call: scores, phase: playing
2026-06-15 15:39:25, tokens_remaining: 1309, call: scores, phase: playing
2026-06-15 15:39:26, tokens_remaining: 1308, call: scores, phase: playing
2026-06-15 15:39:27, tokens_remaining: 1307, call: events, phase: playing
2026-06-15 15:39:28, tokens_remaining: 1306, call: scores, phase: playing
2026-06-15 15:39:29, tokens_remaining: 1306, call: scores, phase: playing
2026-06-15 15:39:30, tokens_remaining: 1305, call: scores, phase: playing
2026-06-15 15:39:31, tokens_remaining: 1305, call: scores, phase: playing
2026-06-15 15:39:32, tokens_remaining: 1304, call: scores, phase: playing
2026-06-15 15:39:33, tokens_remaining: 1304, call: scores, phase: playing
2026-06-15 15:39:34, tokens_remaining: 1303, call: scores, phase: playing
2026-06-15 15:39:35, tokens_remaining: 1303, call: scores, phase: playing
2026-06-15 15:39:36, tokens_remaining: 1302, call: scores, phase: playing
2026-06-15 15:39:37, tokens_remaining: 1301, call: events, phase: playing
2026-06-15 15:39:39, tokens_remaining: 1300, call: scores, phase: playing
2026-06-15 15:39:39, tokens_remaining: 1300, call: scores, phase: playing
2026-06-15 15:39:41, tokens_remaining: 1299, call: scores, phase: playing
2026-06-15 15:39:41, tokens_remaining: 1299, call: scores, phase: playing
2026-06-15 15:39:43, tokens_remaining: 1298, call: scores, phase: playing
