2026-06-15 16:40:30, tokens_remaining: 2466, call: events, phase: idle
2026-06-15 16:41:31, tokens_remaining: 2465, call: scores, phase: idle
2026-06-15 16:42:31, tokens_remaining: 2464, call: scores, phase: idle
2026-06-15 16:43:32, tokens_remaining: 2463, call: scores, phase: idle
2026-06-15 16:44:33, tokens_remaining: 2462, call: scores, phase: idle
2026-06-15 16:45:33, tokens_remaining: 2461, call: scores, phase: idle
2026-06-15 16:45:33, STATE_CHANGE: Saudi Arabia vs Uruguay [— -> NS]
2026-06-15 16:46:34, tokens_remaining: 2460, call: scores, phase: pregame
2026-06-15 16:47:34, tokens_remaining: 2459, call: scores, phase: pregame
2026-06-15 16:48:35, tokens_remaining: 2458, call: scores, phase: pregame
2026-06-15 16:49:36, tokens_remaining: 2457, call: events, phase: pregame
2026-06-15 16:50:37, tokens_remaining: 2456, call: scores, phase: pregame
2026-06-15 16:51:38, tokens_remaining: 2455, call: scores, phase: pregame
2026-06-15 16:52:38, tokens_remaining: 2454, call: scores, phase: pregame
2026-06-15 16:53:39, tokens_remaining: 2453, call: scores, phase: pregame
2026-06-15 16:54:40, tokens_remaining: 2452, call: scores, phase: pregame
2026-06-15 16:55:42, tokens_remaining: 2451, call: scores, phase: pregame
