2026-06-16 05:00:54, tokens_remaining: 2455, call: scores, phase: idle
2026-06-16 05:01:55, tokens_remaining: 2454, call: scores, phase: idle
2026-06-16 05:02:55, tokens_remaining: 2453, call: scores, phase: idle
2026-06-16 05:03:56, tokens_remaining: 2452, call: events, phase: idle
2026-06-16 05:04:56, tokens_remaining: 2451, call: scores, phase: idle
2026-06-16 05:05:57, tokens_remaining: 2450, call: scores, phase: idle
2026-06-16 05:06:58, tokens_remaining: 2449, call: scores, phase: idle
2026-06-16 05:07:58, tokens_remaining: 2448, call: scores, phase: idle
2026-06-16 05:08:59, tokens_remaining: 2447, call: scores, phase: idle
2026-06-16 05:09:59, tokens_remaining: 2446, call: scores, phase: idle
2026-06-16 05:11:00, tokens_remaining: 2445, call: scores, phase: idle
2026-06-16 05:12:01, tokens_remaining: 2444, call: scores, phase: idle
2026-06-16 05:13:01, tokens_remaining: 2443, call: scores, phase: idle
2026-06-16 05:14:02, tokens_remaining: 2442, call: events, phase: idle
2026-06-16 05:15:02, tokens_remaining: 2441, call: scores, phase: idle
2026-06-16 05:16:03, tokens_remaining: 2440, call: scores, phase: idle
2026-06-16 05:17:03, tokens_remaining: 2499, call: scores, phase: idle
2026-06-16 05:18:04, tokens_remaining: 2498, call: scores, phase: idle
2026-06-16 05:19:04, tokens_remaining: 2497, call: scores, phase: idle
2026-06-16 05:20:05, tokens_remaining: 2496, call: scores, phase: idle
2026-06-16 05:21:06, tokens_remaining: 2495, call: scores, phase: idle
2026-06-16 05:22:06, tokens_remaining: 2494, call: scores, phase: idle
2026-06-16 05:23:07, tokens_remaining: 2493, call: scores, phase: idle
2026-06-16 05:24:07, tokens_remaining: 2492, call: events, phase: idle
2026-06-16 05:25:08, tokens_remaining: 2491, call: scores, phase: idle
2026-06-16 05:26:08, tokens_remaining: 2490, call: scores, phase: idle
2026-06-16 05:27:09, tokens_remaining: 2489, call: scores, phase: idle
2026-06-16 05:28:09, tokens_remaining: 2488, call: scores, phase: idle
2026-06-16 05:29:10, tokens_remaining: 2487, call: scores, phase: idle
2026-06-16 05:30:11, tokens_remaining: 2486, call: scores, phase: idle
2026-06-16 05:31:11, tokens_remaining: 2485, call: scores, phase: idle
2026-06-16 05:32:12, tokens_remaining: 2484, call: scores, phase: idle
2026-06-16 05:33:12, tokens_remaining: 2483, call: scores, phase: idle
2026-06-16 05:34:13, tokens_remaining: 2482, call: events, phase: idle
2026-06-16 05:35:13, tokens_remaining: 2481, call: scores, phase: idle
2026-06-16 05:36:14, tokens_remaining: 2480, call: scores, phase: idle
2026-06-16 05:37:15, tokens_remaining: 2479, call: scores, phase: idle
2026-06-16 05:38:15, tokens_remaining: 2478, call: scores, phase: idle
2026-06-16 05:39:16, tokens_remaining: 2477, call: scores, phase: idle
2026-06-16 05:40:16, tokens_remaining: 2476, call: scores, phase: idle
2026-06-16 05:41:17, tokens_remaining: 2475, call: scores, phase: idle
2026-06-16 05:42:17, tokens_remaining: 2474, call: scores, phase: idle
2026-06-16 05:43:18, tokens_remaining: 2473, call: scores, phase: idle
2026-06-16 05:44:18, tokens_remaining: 2472, call: events, phase: idle
2026-06-16 05:45:19, tokens_remaining: 2471, call: scores, phase: idle
2026-06-16 05:46:20, tokens_remaining: 2470, call: scores, phase: idle
2026-06-16 05:47:20, tokens_remaining: 2469, call: scores, phase: idle
2026-06-16 05:48:21, tokens_remaining: 2468, call: scores, phase: idle
2026-06-16 05:49:21, tokens_remaining: 2467, call: scores, phase: idle
2026-06-16 05:50:22, tokens_remaining: 2466, call: scores, phase: idle
2026-06-16 05:51:22, tokens_remaining: 2465, call: scores, phase: idle
2026-06-16 05:52:23, tokens_remaining: 2464, call: scores, phase: idle
2026-06-16 05:53:23, tokens_remaining: 2463, call: scores, phase: idle
2026-06-16 05:54:24, tokens_remaining: 2462, call: events, phase: idle
2026-06-16 05:55:25, tokens_remaining: 2461, call: scores, phase: idle
2026-06-16 05:56:25, tokens_remaining: 2460, call: scores, phase: idle
2026-06-16 05:57:26, tokens_remaining: 2459, call: scores, phase: idle
2026-06-16 05:58:26, tokens_remaining: 2458, call: scores, phase: idle
2026-06-16 05:59:27, tokens_remaining: 2457, call: scores, phase: idle
