2026-06-16 03:00:46, tokens_remaining: 2454, call: scores, phase: idle
2026-06-16 03:01:47, tokens_remaining: 2453, call: scores, phase: idle
2026-06-16 03:02:48, tokens_remaining: 2452, call: events, phase: idle
2026-06-16 03:03:48, tokens_remaining: 2451, call: scores, phase: idle
2026-06-16 03:04:49, tokens_remaining: 2450, call: scores, phase: idle
2026-06-16 03:05:49, tokens_remaining: 2449, call: scores, phase: idle
2026-06-16 03:06:50, tokens_remaining: 2448, call: scores, phase: idle
2026-06-16 03:07:50, tokens_remaining: 2447, call: scores, phase: idle
2026-06-16 03:08:51, tokens_remaining: 2446, call: scores, phase: idle
2026-06-16 03:09:51, tokens_remaining: 2445, call: scores, phase: idle
2026-06-16 03:10:52, tokens_remaining: 2444, call: scores, phase: idle
2026-06-16 03:11:52, tokens_remaining: 2443, call: scores, phase: idle
2026-06-16 03:12:53, tokens_remaining: 2442, call: events, phase: idle
2026-06-16 03:13:54, tokens_remaining: 2441, call: scores, phase: idle
2026-06-16 03:14:54, tokens_remaining: 2440, call: scores, phase: idle
2026-06-16 03:15:55, tokens_remaining: 2499, call: scores, phase: idle
2026-06-16 03:16:55, tokens_remaining: 2498, call: scores, phase: idle
2026-06-16 03:17:56, tokens_remaining: 2497, call: scores, phase: idle
2026-06-16 03:18:56, tokens_remaining: 2496, call: scores, phase: idle
2026-06-16 03:19:57, tokens_remaining: 2495, call: scores, phase: idle
2026-06-16 03:20:57, tokens_remaining: 2494, call: scores, phase: idle
2026-06-16 03:21:58, tokens_remaining: 2493, call: scores, phase: idle
2026-06-16 03:22:58, tokens_remaining: 2492, call: events, phase: idle
2026-06-16 03:23:59, tokens_remaining: 2491, call: scores, phase: idle
2026-06-16 03:25:00, tokens_remaining: 2490, call: scores, phase: idle
2026-06-16 03:26:00, tokens_remaining: 2489, call: scores, phase: idle
2026-06-16 03:27:01, tokens_remaining: 2488, call: scores, phase: idle
2026-06-16 03:28:01, tokens_remaining: 2487, call: scores, phase: idle
2026-06-16 03:29:01, tokens_remaining: 2486, call: scores, phase: idle
2026-06-16 03:30:02, tokens_remaining: 2485, call: scores, phase: idle
2026-06-16 03:31:03, tokens_remaining: 2484, call: scores, phase: idle
2026-06-16 03:32:03, tokens_remaining: 2483, call: scores, phase: idle
2026-06-16 03:33:04, tokens_remaining: 2482, call: events, phase: idle
2026-06-16 03:34:06, tokens_remaining: 2481, call: scores, phase: idle
2026-06-16 03:35:06, tokens_remaining: 2480, call: scores, phase: idle
2026-06-16 03:36:07, tokens_remaining: 2479, call: scores, phase: idle
2026-06-16 03:37:07, tokens_remaining: 2478, call: scores, phase: idle
2026-06-16 03:38:08, tokens_remaining: 2477, call: scores, phase: idle
2026-06-16 03:39:08, tokens_remaining: 2476, call: scores, phase: idle
2026-06-16 03:40:09, tokens_remaining: 2475, call: scores, phase: idle
2026-06-16 03:41:10, tokens_remaining: 2474, call: scores, phase: idle
2026-06-16 03:42:10, tokens_remaining: 2473, call: scores, phase: idle
2026-06-16 03:43:11, tokens_remaining: 2472, call: events, phase: idle
2026-06-16 03:44:11, tokens_remaining: 2471, call: scores, phase: idle
2026-06-16 03:45:12, tokens_remaining: 2470, call: scores, phase: idle
2026-06-16 03:46:12, tokens_remaining: 2469, call: scores, phase: idle
2026-06-16 03:47:13, tokens_remaining: 2468, call: scores, phase: idle
2026-06-16 03:48:13, tokens_remaining: 2467, call: scores, phase: idle
2026-06-16 03:49:14, tokens_remaining: 2466, call: scores, phase: idle
2026-06-16 03:50:15, tokens_remaining: 2465, call: scores, phase: idle
2026-06-16 03:51:15, tokens_remaining: 2464, call: scores, phase: idle
2026-06-16 03:52:16, tokens_remaining: 2463, call: scores, phase: idle
2026-06-16 03:53:16, tokens_remaining: 2462, call: events, phase: idle
2026-06-16 03:54:17, tokens_remaining: 2461, call: scores, phase: idle
2026-06-16 03:55:17, tokens_remaining: 2460, call: scores, phase: idle
2026-06-16 03:56:18, tokens_remaining: 2459, call: scores, phase: idle
2026-06-16 03:57:18, tokens_remaining: 2458, call: scores, phase: idle
2026-06-16 03:58:19, tokens_remaining: 2457, call: scores, phase: idle
2026-06-16 03:59:20, tokens_remaining: 2456, call: scores, phase: idle
