2026-06-19 16:00:00, tokens_remaining: 587, call: scores, phase: playing
2026-06-19 16:00:01, tokens_remaining: 586, call: scores, phase: playing
2026-06-19 16:00:02, tokens_remaining: 586, call: scores, phase: playing
2026-06-19 16:00:03, tokens_remaining: 585, call: scores, phase: playing
2026-06-19 16:00:04, tokens_remaining: 584, call: events, phase: playing
2026-06-19 16:00:05, tokens_remaining: 583, call: scores, phase: playing
2026-06-19 16:00:06, tokens_remaining: 583, call: scores, phase: playing
2026-06-19 16:00:07, tokens_remaining: 582, call: scores, phase: playing
2026-06-19 16:00:08, tokens_remaining: 582, call: scores, phase: playing
2026-06-19 16:00:09, tokens_remaining: 581, call: scores, phase: playing
2026-06-19 16:00:10, tokens_remaining: 581, call: scores, phase: playing
2026-06-19 16:00:11, tokens_remaining: 580, call: scores, phase: playing
2026-06-19 16:00:11, tokens_remaining: 580, call: scores, phase: playing
2026-06-19 16:00:12, tokens_remaining: 579, call: scores, phase: playing
2026-06-19 16:00:13, tokens_remaining: 578, call: events, phase: playing
2026-06-19 16:00:14, tokens_remaining: 577, call: scores, phase: playing
2026-06-19 16:00:15, tokens_remaining: 577, call: scores, phase: playing
2026-06-19 16:00:16, tokens_remaining: 576, call: scores, phase: playing
2026-06-19 16:00:17, tokens_remaining: 576, call: scores, phase: playing
2026-06-19 16:00:18, tokens_remaining: 575, call: scores, phase: playing
2026-06-19 16:00:19, tokens_remaining: 575, call: scores, phase: playing
2026-06-19 16:00:20, tokens_remaining: 574, call: scores, phase: playing
2026-06-19 16:00:21, tokens_remaining: 574, call: scores, phase: playing
2026-06-19 16:00:22, tokens_remaining: 573, call: scores, phase: playing
2026-06-19 16:00:23, tokens_remaining: 572, call: events, phase: playing
2026-06-19 16:00:24, tokens_remaining: 571, call: scores, phase: playing
2026-06-19 16:00:24, tokens_remaining: 571, call: scores, phase: playing
2026-06-19 16:00:25, tokens_remaining: 570, call: scores, phase: playing
2026-06-19 16:00:26, tokens_remaining: 570, call: scores, phase: playing
2026-06-19 16:00:27, tokens_remaining: 569, call: scores, phase: playing
2026-06-19 16:00:28, tokens_remaining: 569, call: scores, phase: playing
2026-06-19 16:00:29, tokens_remaining: 568, call: scores, phase: playing
2026-06-19 16:00:30, tokens_remaining: 568, call: scores, phase: playing
2026-06-19 16:00:31, tokens_remaining: 567, call: scores, phase: playing
2026-06-19 16:00:33, tokens_remaining: 566, call: events, phase: playing
2026-06-19 16:00:34, tokens_remaining: 565, call: scores, phase: playing
2026-06-19 16:00:35, tokens_remaining: 565, call: scores, phase: playing
2026-06-19 16:00:36, tokens_remaining: 564, call: scores, phase: playing
2026-06-19 16:00:36, tokens_remaining: 564, call: scores, phase: playing
2026-06-19 16:00:37, tokens_remaining: 563, call: scores, phase: playing
2026-06-19 16:00:38, tokens_remaining: 563, call: scores, phase: playing
2026-06-19 16:00:39, tokens_remaining: 562, call: scores, phase: playing
2026-06-19 16:00:40, tokens_remaining: 562, call: scores, phase: playing
2026-06-19 16:00:41, tokens_remaining: 561, call: scores, phase: playing
2026-06-19 16:00:42, tokens_remaining: 560, call: events, phase: playing
2026-06-19 16:00:43, tokens_remaining: 559, call: scores, phase: playing
2026-06-19 16:00:44, tokens_remaining: 559, call: scores, phase: playing
2026-06-19 16:00:45, tokens_remaining: 558, call: scores, phase: playing
2026-06-19 16:00:46, tokens_remaining: 558, call: scores, phase: playing
2026-06-19 16:00:47, tokens_remaining: 557, call: scores, phase: playing
2026-06-19 16:00:48, tokens_remaining: 557, call: scores, phase: playing
2026-06-19 16:00:49, tokens_remaining: 556, call: scores, phase: playing
2026-06-19 16:00:49, tokens_remaining: 556, call: scores, phase: playing
2026-06-19 16:00:50, tokens_remaining: 555, call: scores, phase: playing
2026-06-19 16:00:51, tokens_remaining: 554, call: events, phase: playing
2026-06-19 16:00:53, tokens_remaining: 553, call: scores, phase: playing
2026-06-19 16:00:53, tokens_remaining: 553, call: scores, phase: playing
2026-06-19 16:00:54, tokens_remaining: 552, call: scores, phase: playing
2026-06-19 16:00:55, tokens_remaining: 552, call: scores, phase: playing
2026-06-19 16:00:56, tokens_remaining: 551, call: scores, phase: playing
2026-06-19 16:00:57, tokens_remaining: 551, call: scores, phase: playing
2026-06-19 16:00:58, tokens_remaining: 550, call: scores, phase: playing
2026-06-19 16:00:59, tokens_remaining: 550, call: scores, phase: playing
2026-06-19 16:01:00, tokens_remaining: 549, call: scores, phase: playing
2026-06-19 16:01:01, tokens_remaining: 548, call: events, phase: playing
2026-06-19 16:01:02, tokens_remaining: 547, call: scores, phase: playing
2026-06-19 16:01:02, tokens_remaining: 547, call: scores, phase: playing
2026-06-19 16:01:03, tokens_remaining: 546, call: scores, phase: playing
2026-06-19 16:01:04, tokens_remaining: 546, call: scores, phase: playing
2026-06-19 16:01:05, tokens_remaining: 545, call: scores, phase: playing
2026-06-19 16:01:06, tokens_remaining: 545, call: scores, phase: playing
2026-06-19 16:01:07, tokens_remaining: 544, call: scores, phase: playing
2026-06-19 16:01:08, tokens_remaining: 544, call: scores, phase: playing
2026-06-19 16:01:09, tokens_remaining: 543, call: scores, phase: playing
2026-06-19 16:01:10, tokens_remaining: 542, call: events, phase: playing
2026-06-19 16:01:11, tokens_remaining: 541, call: scores, phase: playing
2026-06-19 16:01:12, tokens_remaining: 541, call: scores, phase: playing
2026-06-19 16:01:13, tokens_remaining: 540, call: scores, phase: playing
2026-06-19 16:01:13, tokens_remaining: 540, call: scores, phase: playing
2026-06-19 16:01:14, tokens_remaining: 539, call: scores, phase: playing
2026-06-19 16:01:15, tokens_remaining: 539, call: scores, phase: playing
2026-06-19 16:01:16, tokens_remaining: 538, call: scores, phase: playing
2026-06-19 16:01:17, tokens_remaining: 538, call: scores, phase: playing
2026-06-19 16:01:18, tokens_remaining: 537, call: scores, phase: playing
2026-06-19 16:01:19, tokens_remaining: 536, call: events, phase: playing
2026-06-19 16:01:20, tokens_remaining: 535, call: scores, phase: playing
2026-06-19 16:01:21, tokens_remaining: 535, call: scores, phase: playing
2026-06-19 16:01:22, tokens_remaining: 534, call: scores, phase: playing
2026-06-19 16:01:23, tokens_remaining: 534, call: scores, phase: playing
2026-06-19 16:01:24, tokens_remaining: 533, call: scores, phase: playing
2026-06-19 16:01:24, tokens_remaining: 533, call: scores, phase: playing
2026-06-19 16:01:25, tokens_remaining: 532, call: scores, phase: playing
2026-06-19 16:01:26, tokens_remaining: 532, call: scores, phase: playing
2026-06-19 16:01:27, tokens_remaining: 531, call: scores, phase: playing
2026-06-19 16:01:28, tokens_remaining: 530, call: events, phase: playing
2026-06-19 16:01:29, tokens_remaining: 529, call: scores, phase: playing
2026-06-19 16:01:30, tokens_remaining: 529, call: scores, phase: playing
2026-06-19 16:01:31, tokens_remaining: 528, call: scores, phase: playing
2026-06-19 16:01:32, tokens_remaining: 528, call: scores, phase: playing
2026-06-19 16:01:33, tokens_remaining: 527, call: scores, phase: playing
2026-06-19 16:01:34, tokens_remaining: 527, call: scores, phase: playing
2026-06-19 16:01:35, tokens_remaining: 526, call: scores, phase: playing
2026-06-19 16:01:35, tokens_remaining: 526, call: scores, phase: playing
2026-06-19 16:01:36, tokens_remaining: 525, call: scores, phase: playing
2026-06-19 16:01:37, tokens_remaining: 524, call: events, phase: playing
2026-06-19 16:01:38, tokens_remaining: 523, call: scores, phase: playing
2026-06-19 16:01:39, tokens_remaining: 523, call: scores, phase: playing
2026-06-19 16:01:40, tokens_remaining: 522, call: scores, phase: playing
2026-06-19 16:01:41, tokens_remaining: 522, call: scores, phase: playing
2026-06-19 16:01:42, tokens_remaining: 521, call: scores, phase: playing
2026-06-19 16:01:43, tokens_remaining: 521, call: scores, phase: playing
2026-06-19 16:01:44, tokens_remaining: 520, call: scores, phase: playing
2026-06-19 16:01:44, tokens_remaining: 520, call: scores, phase: playing
2026-06-19 16:01:45, tokens_remaining: 519, call: scores, phase: playing
2026-06-19 16:01:46, tokens_remaining: 518, call: events, phase: playing
2026-06-19 16:01:47, tokens_remaining: 517, call: scores, phase: playing
2026-06-19 16:01:48, tokens_remaining: 517, call: scores, phase: playing
2026-06-19 16:01:49, tokens_remaining: 516, call: scores, phase: playing
2026-06-19 16:01:50, tokens_remaining: 516, call: scores, phase: playing
2026-06-19 16:01:51, tokens_remaining: 515, call: scores, phase: playing
2026-06-19 16:01:52, tokens_remaining: 515, call: scores, phase: playing
2026-06-19 16:01:53, tokens_remaining: 514, call: scores, phase: playing
2026-06-19 16:01:53, tokens_remaining: 514, call: scores, phase: playing
2026-06-19 16:01:55, tokens_remaining: 513, call: scores, phase: playing
2026-06-19 16:01:56, tokens_remaining: 512, call: events, phase: playing
2026-06-19 16:01:57, tokens_remaining: 511, call: scores, phase: playing
2026-06-19 16:01:57, tokens_remaining: 511, call: scores, phase: playing
2026-06-19 16:01:58, tokens_remaining: 510, call: scores, phase: playing
2026-06-19 16:01:59, tokens_remaining: 510, call: scores, phase: playing
2026-06-19 16:02:00, tokens_remaining: 509, call: scores, phase: playing
2026-06-19 16:02:01, tokens_remaining: 509, call: scores, phase: playing
2026-06-19 16:02:02, tokens_remaining: 508, call: scores, phase: playing
2026-06-19 16:02:03, tokens_remaining: 508, call: scores, phase: playing
2026-06-19 16:02:04, tokens_remaining: 507, call: scores, phase: playing
2026-06-19 16:02:05, tokens_remaining: 506, call: events, phase: playing
2026-06-19 16:02:06, tokens_remaining: 505, call: scores, phase: playing
2026-06-19 16:02:06, tokens_remaining: 505, call: scores, phase: playing
2026-06-19 16:02:07, tokens_remaining: 504, call: scores, phase: playing
2026-06-19 16:02:08, tokens_remaining: 504, call: scores, phase: playing
2026-06-19 16:02:09, tokens_remaining: 503, call: scores, phase: playing
2026-06-19 16:02:10, tokens_remaining: 503, call: scores, phase: playing
2026-06-19 16:02:11, tokens_remaining: 502, call: scores, phase: playing
2026-06-19 16:02:12, tokens_remaining: 502, call: scores, phase: playing
2026-06-19 16:02:13, tokens_remaining: 501, call: scores, phase: playing
2026-06-19 16:02:14, tokens_remaining: 500, call: events, phase: playing
2026-06-19 16:02:14, EVENT: SUBSTITUTION 90+6' Giovanni Reyna [United States vs Australia]
2026-06-19 16:02:14, EVENT: SUBSTITUTION 90+6' Haji Wright [United States vs Australia]
2026-06-19 16:02:15, tokens_remaining: 499, call: scores, phase: playing
2026-06-19 16:02:16, tokens_remaining: 499, call: scores, phase: playing
2026-06-19 16:02:17, tokens_remaining: 498, call: scores, phase: playing
2026-06-19 16:02:17, tokens_remaining: 498, call: scores, phase: playing
2026-06-19 16:02:18, tokens_remaining: 497, call: scores, phase: playing
2026-06-19 16:02:19, tokens_remaining: 497, call: scores, phase: playing
2026-06-19 16:02:20, tokens_remaining: 496, call: scores, phase: playing
2026-06-19 16:02:21, tokens_remaining: 496, call: scores, phase: playing
2026-06-19 16:02:22, tokens_remaining: 495, call: scores, phase: playing
2026-06-19 16:02:23, tokens_remaining: 494, call: events, phase: playing
2026-06-19 16:02:24, tokens_remaining: 493, call: scores, phase: playing
2026-06-19 16:02:25, tokens_remaining: 493, call: scores, phase: playing
2026-06-19 16:02:26, tokens_remaining: 492, call: scores, phase: playing
2026-06-19 16:02:26, tokens_remaining: 492, call: scores, phase: playing
