2026-06-12 14:33:56, tokens_remaining: 2340, call: scores, phase: idle
2026-06-12 14:34:54, tokens_remaining: 2339, call: scores, phase: idle
2026-06-12 14:35:54, tokens_remaining: 2338, call: scores, phase: idle
2026-06-12 14:36:25, tokens_remaining: 2337, call: scores, phase: idle
2026-06-12 14:36:27, tokens_remaining: 2336, call: events, phase: idle
2026-06-12 14:36:54, tokens_remaining: 2335, call: scores, phase: idle
2026-06-12 14:37:54, tokens_remaining: 2334, call: scores, phase: idle
2026-06-12 14:38:55, tokens_remaining: 2333, call: scores, phase: idle
2026-06-12 14:39:54, tokens_remaining: 2332, call: scores, phase: idle
2026-06-12 14:40:54, tokens_remaining: 2331, call: scores, phase: idle
2026-06-12 14:41:54, tokens_remaining: 2330, call: scores, phase: idle
2026-06-12 14:42:54, tokens_remaining: 2329, call: events, phase: idle
2026-06-12 14:43:55, tokens_remaining: 2328, call: scores, phase: idle
2026-06-12 14:44:54, tokens_remaining: 2327, call: scores, phase: idle
2026-06-12 14:45:54, tokens_remaining: 2326, call: scores, phase: idle
2026-06-12 14:46:54, tokens_remaining: 2325, call: scores, phase: idle
