2026-06-16 01:00:38, tokens_remaining: 2453, call: scores, phase: idle
2026-06-16 01:01:39, tokens_remaining: 2452, call: events, phase: idle
2026-06-16 01:02:39, tokens_remaining: 2451, call: scores, phase: idle
2026-06-16 01:03:40, tokens_remaining: 2450, call: scores, phase: idle
2026-06-16 01:04:40, tokens_remaining: 2449, call: scores, phase: idle
2026-06-16 01:05:41, tokens_remaining: 2448, call: scores, phase: idle
2026-06-16 01:06:41, tokens_remaining: 2447, call: scores, phase: idle
2026-06-16 01:07:42, tokens_remaining: 2446, call: scores, phase: idle
2026-06-16 01:08:43, tokens_remaining: 2445, call: scores, phase: idle
2026-06-16 01:09:43, tokens_remaining: 2444, call: scores, phase: idle
2026-06-16 01:10:44, tokens_remaining: 2443, call: scores, phase: idle
2026-06-16 01:11:44, tokens_remaining: 2442, call: events, phase: idle
2026-06-16 01:12:45, tokens_remaining: 2441, call: scores, phase: idle
2026-06-16 01:13:45, tokens_remaining: 2440, call: scores, phase: idle
2026-06-16 01:14:46, tokens_remaining: 2499, call: scores, phase: idle
2026-06-16 01:15:46, tokens_remaining: 2498, call: scores, phase: idle
2026-06-16 01:16:47, tokens_remaining: 2497, call: scores, phase: idle
2026-06-16 01:17:47, tokens_remaining: 2496, call: scores, phase: idle
2026-06-16 01:18:48, tokens_remaining: 2495, call: scores, phase: idle
2026-06-16 01:19:48, tokens_remaining: 2494, call: scores, phase: idle
2026-06-16 01:20:49, tokens_remaining: 2493, call: scores, phase: idle
2026-06-16 01:21:50, tokens_remaining: 2492, call: events, phase: idle
2026-06-16 01:22:50, tokens_remaining: 2491, call: scores, phase: idle
2026-06-16 01:23:51, tokens_remaining: 2490, call: scores, phase: idle
2026-06-16 01:24:51, tokens_remaining: 2489, call: scores, phase: idle
2026-06-16 01:25:52, tokens_remaining: 2488, call: scores, phase: idle
2026-06-16 01:26:52, tokens_remaining: 2487, call: scores, phase: idle
2026-06-16 01:27:53, tokens_remaining: 2486, call: scores, phase: idle
2026-06-16 01:28:53, tokens_remaining: 2485, call: scores, phase: idle
2026-06-16 01:29:54, tokens_remaining: 2484, call: scores, phase: idle
2026-06-16 01:30:54, tokens_remaining: 2483, call: scores, phase: idle
2026-06-16 01:31:55, tokens_remaining: 2482, call: events, phase: idle
2026-06-16 01:32:56, tokens_remaining: 2481, call: scores, phase: idle
2026-06-16 01:33:56, tokens_remaining: 2480, call: scores, phase: idle
2026-06-16 01:34:57, tokens_remaining: 2479, call: scores, phase: idle
2026-06-16 01:35:57, tokens_remaining: 2478, call: scores, phase: idle
2026-06-16 01:36:58, tokens_remaining: 2477, call: scores, phase: idle
2026-06-16 01:37:58, tokens_remaining: 2476, call: scores, phase: idle
2026-06-16 01:38:59, tokens_remaining: 2475, call: scores, phase: idle
2026-06-16 01:40:00, tokens_remaining: 2474, call: scores, phase: idle
2026-06-16 01:41:00, tokens_remaining: 2473, call: scores, phase: idle
2026-06-16 01:42:01, tokens_remaining: 2472, call: events, phase: idle
2026-06-16 01:43:01, tokens_remaining: 2471, call: scores, phase: idle
2026-06-16 01:44:02, tokens_remaining: 2470, call: scores, phase: idle
2026-06-16 01:45:02, tokens_remaining: 2469, call: scores, phase: idle
2026-06-16 01:46:03, tokens_remaining: 2468, call: scores, phase: idle
2026-06-16 01:47:03, tokens_remaining: 2467, call: scores, phase: idle
2026-06-16 01:48:04, tokens_remaining: 2466, call: scores, phase: idle
2026-06-16 01:49:05, tokens_remaining: 2465, call: scores, phase: idle
2026-06-16 01:50:05, tokens_remaining: 2464, call: scores, phase: idle
2026-06-16 01:51:06, tokens_remaining: 2463, call: scores, phase: idle
2026-06-16 01:52:06, tokens_remaining: 2462, call: events, phase: idle
2026-06-16 01:53:07, tokens_remaining: 2461, call: scores, phase: idle
2026-06-16 01:54:07, tokens_remaining: 2460, call: scores, phase: idle
2026-06-16 01:55:08, tokens_remaining: 2459, call: scores, phase: idle
2026-06-16 01:56:08, tokens_remaining: 2458, call: scores, phase: idle
2026-06-16 01:57:09, tokens_remaining: 2457, call: scores, phase: idle
2026-06-16 01:58:10, tokens_remaining: 2456, call: scores, phase: idle
2026-06-16 01:59:10, tokens_remaining: 2455, call: scores, phase: idle
