2026-06-17 00:12:35, tokens_remaining: 2082, call: scores, phase: playing
2026-06-17 00:12:36, tokens_remaining: 2081, call: scores, phase: playing
2026-06-17 00:12:37, tokens_remaining: 2081, call: scores, phase: playing
2026-06-17 00:12:38, tokens_remaining: 2080, call: scores, phase: playing
2026-06-17 00:12:40, tokens_remaining: 2079, call: events, phase: playing
2026-06-17 00:12:41, tokens_remaining: 2078, call: scores, phase: playing
2026-06-17 00:12:42, tokens_remaining: 2078, call: scores, phase: playing
2026-06-17 00:12:43, tokens_remaining: 2077, call: scores, phase: playing
2026-06-17 00:12:44, tokens_remaining: 2077, call: scores, phase: playing
2026-06-17 00:12:45, tokens_remaining: 2076, call: scores, phase: playing
2026-06-17 00:12:46, tokens_remaining: 2076, call: scores, phase: playing
2026-06-17 00:12:47, tokens_remaining: 2075, call: scores, phase: playing
2026-06-17 00:12:48, tokens_remaining: 2075, call: scores, phase: playing
2026-06-17 00:12:50, tokens_remaining: 2074, call: scores, phase: playing
2026-06-17 00:12:51, tokens_remaining: 2073, call: events, phase: playing
2026-06-17 00:12:52, tokens_remaining: 2072, call: scores, phase: playing
2026-06-17 00:12:53, tokens_remaining: 2072, call: scores, phase: playing
2026-06-17 00:12:54, tokens_remaining: 2071, call: scores, phase: playing
2026-06-17 00:12:55, tokens_remaining: 2071, call: scores, phase: playing
2026-06-17 00:12:56, tokens_remaining: 2070, call: scores, phase: playing
2026-06-17 00:12:57, tokens_remaining: 2070, call: scores, phase: playing
2026-06-17 00:12:59, tokens_remaining: 2069, call: scores, phase: playing
2026-06-17 00:12:59, tokens_remaining: 2069, call: scores, phase: playing
2026-06-17 00:13:01, tokens_remaining: 2068, call: scores, phase: playing
2026-06-17 00:13:02, tokens_remaining: 2067, call: events, phase: playing
2026-06-17 00:13:03, tokens_remaining: 2066, call: scores, phase: playing
2026-06-17 00:13:04, tokens_remaining: 2066, call: scores, phase: playing
2026-06-17 00:13:05, tokens_remaining: 2065, call: scores, phase: playing
2026-06-17 00:13:06, tokens_remaining: 2065, call: scores, phase: playing
2026-06-17 00:13:07, tokens_remaining: 2064, call: scores, phase: playing
2026-06-17 00:13:08, tokens_remaining: 2064, call: scores, phase: playing
2026-06-17 00:13:10, tokens_remaining: 2063, call: scores, phase: playing
2026-06-17 00:13:11, tokens_remaining: 2063, call: scores, phase: playing
2026-06-17 00:13:12, tokens_remaining: 2062, call: scores, phase: playing
2026-06-17 00:13:13, tokens_remaining: 2061, call: events, phase: playing
2026-06-17 00:13:14, tokens_remaining: 2060, call: scores, phase: playing
