2026-06-15 11:00:50, tokens_remaining: 2450, call: scores, phase: pregame
2026-06-15 11:01:27, tokens_remaining: 2449, call: scores, phase: pregame
2026-06-15 11:01:37, tokens_remaining: 2448, call: events, phase: pregame
2026-06-15 11:02:37, tokens_remaining: 2447, call: scores, phase: pregame
2026-06-15 11:02:37, STATE_CHANGE: Spain vs Cape Verde Islands [NS -> 1H]
2026-06-15 11:02:39, tokens_remaining: 2446, call: scores, phase: playing
2026-06-15 11:02:39, tokens_remaining: 2446, call: scores, phase: playing
2026-06-15 11:02:39, tokens_remaining: 2446, call: scores, phase: playing
2026-06-15 11:02:39, tokens_remaining: 2446, call: scores, phase: playing
2026-06-15 11:02:40, tokens_remaining: 2446, call: scores, phase: playing
2026-06-15 11:02:40, tokens_remaining: 2445, call: events, phase: playing
2026-06-15 11:02:41, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:41, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:41, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:41, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:41, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:41, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:42, tokens_remaining: 2444, call: scores, phase: playing
2026-06-15 11:02:42, tokens_remaining: 2443, call: scores, phase: playing
2026-06-15 11:02:42, tokens_remaining: 2443, call: scores, phase: playing
2026-06-15 11:02:43, tokens_remaining: 2442, call: events, phase: playing
2026-06-15 11:02:43, tokens_remaining: 2443, call: scores, phase: playing
2026-06-15 11:02:43, tokens_remaining: 2443, call: scores, phase: playing
2026-06-15 11:02:43, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:44, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:44, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:44, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:44, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:44, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:44, tokens_remaining: 2441, call: scores, phase: playing
2026-06-15 11:02:45, tokens_remaining: 2440, call: events, phase: playing
2026-06-15 11:02:45, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:45, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:45, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:46, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:46, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:46, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:46, tokens_remaining: 2439, call: scores, phase: playing
2026-06-15 11:02:46, tokens_remaining: 2438, call: scores, phase: playing
2026-06-15 11:02:47, tokens_remaining: 2438, call: scores, phase: playing
2026-06-15 11:02:47, tokens_remaining: 2437, call: events, phase: playing
2026-06-15 11:02:47, tokens_remaining: 2438, call: scores, phase: playing
