2026-06-19 11:00:59, tokens_remaining: 2450, call: scores, phase: idle
2026-06-19 11:02:00, tokens_remaining: 2449, call: scores, phase: idle
2026-06-19 11:03:00, tokens_remaining: 2448, call: events, phase: idle
2026-06-19 11:04:01, tokens_remaining: 2447, call: scores, phase: idle
2026-06-19 11:05:02, tokens_remaining: 2446, call: scores, phase: idle
2026-06-19 11:06:02, tokens_remaining: 2445, call: scores, phase: idle
2026-06-19 11:07:03, tokens_remaining: 2444, call: scores, phase: idle
2026-06-19 11:08:03, tokens_remaining: 2443, call: scores, phase: idle
2026-06-19 11:09:04, tokens_remaining: 2442, call: scores, phase: idle
2026-06-19 11:10:04, tokens_remaining: 2441, call: scores, phase: idle
2026-06-19 11:11:05, tokens_remaining: 2440, call: scores, phase: idle
2026-06-19 11:12:06, tokens_remaining: 2499, call: scores, phase: idle
2026-06-19 11:13:06, tokens_remaining: 2498, call: events, phase: idle
2026-06-19 11:14:06, tokens_remaining: 2497, call: scores, phase: idle
2026-06-19 11:15:07, tokens_remaining: 2496, call: scores, phase: idle
2026-06-19 11:16:08, tokens_remaining: 2495, call: scores, phase: idle
2026-06-19 11:17:08, tokens_remaining: 2494, call: scores, phase: idle
2026-06-19 11:18:09, tokens_remaining: 2493, call: scores, phase: idle
2026-06-19 11:19:09, tokens_remaining: 2492, call: scores, phase: idle
2026-06-19 11:20:10, tokens_remaining: 2491, call: scores, phase: idle
2026-06-19 11:21:10, tokens_remaining: 2490, call: scores, phase: idle
2026-06-19 11:22:11, tokens_remaining: 2489, call: scores, phase: idle
2026-06-19 11:23:12, tokens_remaining: 2488, call: events, phase: idle
2026-06-19 11:24:12, tokens_remaining: 2487, call: scores, phase: idle
2026-06-19 11:25:13, tokens_remaining: 2486, call: scores, phase: idle
2026-06-19 11:26:13, tokens_remaining: 2485, call: scores, phase: idle
2026-06-19 11:27:14, tokens_remaining: 2484, call: scores, phase: idle
2026-06-19 11:28:14, tokens_remaining: 2483, call: scores, phase: idle
2026-06-19 11:29:15, tokens_remaining: 2482, call: scores, phase: idle
2026-06-19 11:30:15, tokens_remaining: 2481, call: scores, phase: idle
2026-06-19 11:31:16, tokens_remaining: 2480, call: scores, phase: idle
2026-06-19 11:32:17, tokens_remaining: 2479, call: scores, phase: idle
2026-06-19 11:33:18, tokens_remaining: 2478, call: events, phase: idle
2026-06-19 11:34:18, tokens_remaining: 2477, call: scores, phase: idle
2026-06-19 11:35:19, tokens_remaining: 2476, call: scores, phase: idle
2026-06-19 11:36:19, tokens_remaining: 2475, call: scores, phase: idle
2026-06-19 11:37:20, tokens_remaining: 2474, call: scores, phase: idle
2026-06-19 11:38:20, tokens_remaining: 2473, call: scores, phase: idle
2026-06-19 11:39:21, tokens_remaining: 2472, call: scores, phase: idle
2026-06-19 11:40:21, tokens_remaining: 2471, call: scores, phase: idle
2026-06-19 11:41:22, tokens_remaining: 2470, call: scores, phase: idle
2026-06-19 11:42:23, tokens_remaining: 2469, call: scores, phase: idle
2026-06-19 11:43:23, tokens_remaining: 2468, call: events, phase: idle
2026-06-19 11:44:24, tokens_remaining: 2467, call: scores, phase: idle
2026-06-19 11:45:24, tokens_remaining: 2466, call: scores, phase: idle
2026-06-19 11:46:25, tokens_remaining: 2465, call: scores, phase: idle
2026-06-19 11:47:25, tokens_remaining: 2464, call: scores, phase: idle
2026-06-19 11:48:26, tokens_remaining: 2463, call: scores, phase: idle
2026-06-19 11:49:26, tokens_remaining: 2462, call: scores, phase: idle
2026-06-19 11:50:27, tokens_remaining: 2461, call: scores, phase: idle
2026-06-19 11:51:27, tokens_remaining: 2460, call: scores, phase: idle
2026-06-19 11:52:28, tokens_remaining: 2459, call: scores, phase: idle
2026-06-19 11:53:29, tokens_remaining: 2458, call: events, phase: idle
2026-06-19 11:54:29, tokens_remaining: 2457, call: scores, phase: idle
2026-06-19 11:55:30, tokens_remaining: 2456, call: scores, phase: idle
2026-06-19 11:56:30, tokens_remaining: 2455, call: scores, phase: idle
2026-06-19 11:57:31, tokens_remaining: 2454, call: scores, phase: idle
2026-06-19 11:58:31, tokens_remaining: 2453, call: scores, phase: idle
2026-06-19 11:59:32, tokens_remaining: 2452, call: scores, phase: idle
