2026-06-18 11:00:03, tokens_remaining: 2448, call: scores, phase: pregame
2026-06-18 11:01:04, tokens_remaining: 2447, call: scores, phase: pregame
2026-06-18 11:02:05, tokens_remaining: 2446, call: scores, phase: pregame
2026-06-18 11:02:05, STATE_CHANGE: Czech Republic vs South Africa [NS -> 1H]
2026-06-18 11:02:05, tokens_remaining: 2446, call: scores, phase: playing
2026-06-18 11:02:05, tokens_remaining: 2446, call: scores, phase: playing
2026-06-18 11:02:06, tokens_remaining: 2445, call: events, phase: playing
2026-06-18 11:02:07, tokens_remaining: 2444, call: scores, phase: playing
2026-06-18 11:02:07, tokens_remaining: 2444, call: scores, phase: playing
2026-06-18 11:02:07, tokens_remaining: 2444, call: scores, phase: playing
2026-06-18 11:02:07, tokens_remaining: 2444, call: scores, phase: playing
2026-06-18 11:02:07, tokens_remaining: 2444, call: scores, phase: playing
2026-06-18 11:02:08, tokens_remaining: 2443, call: scores, phase: playing
2026-06-18 11:02:08, tokens_remaining: 2443, call: scores, phase: playing
2026-06-18 11:02:08, tokens_remaining: 2443, call: scores, phase: playing
2026-06-18 11:02:09, tokens_remaining: 2443, call: scores, phase: playing
2026-06-18 11:02:09, tokens_remaining: 2442, call: events, phase: playing
2026-06-18 11:02:10, tokens_remaining: 2441, call: scores, phase: playing
2026-06-18 11:02:10, tokens_remaining: 2441, call: scores, phase: playing
2026-06-18 11:02:10, tokens_remaining: 2441, call: scores, phase: playing
2026-06-18 11:02:10, tokens_remaining: 2441, call: scores, phase: playing
2026-06-18 11:02:10, tokens_remaining: 2441, call: scores, phase: playing
2026-06-18 11:02:11, tokens_remaining: 2440, call: scores, phase: playing
2026-06-18 11:02:11, tokens_remaining: 2440, call: scores, phase: playing
2026-06-18 11:02:11, tokens_remaining: 2440, call: scores, phase: playing
2026-06-18 11:02:11, tokens_remaining: 2440, call: scores, phase: playing
2026-06-18 11:02:12, tokens_remaining: 2439, call: events, phase: playing
2026-06-18 11:02:12, tokens_remaining: 2438, call: scores, phase: playing
2026-06-18 11:02:13, tokens_remaining: 2438, call: scores, phase: playing
2026-06-18 11:02:13, tokens_remaining: 2438, call: scores, phase: playing
2026-06-18 11:02:13, tokens_remaining: 2438, call: scores, phase: playing
2026-06-18 11:02:13, tokens_remaining: 2438, call: scores, phase: playing
2026-06-18 11:02:14, tokens_remaining: 2437, call: scores, phase: playing
2026-06-18 11:02:14, tokens_remaining: 2437, call: scores, phase: playing
2026-06-18 11:02:14, tokens_remaining: 2437, call: scores, phase: playing
2026-06-18 11:02:14, tokens_remaining: 2437, call: scores, phase: playing
2026-06-18 11:02:15, tokens_remaining: 2436, call: events, phase: playing
2026-06-18 11:02:15, tokens_remaining: 2435, call: scores, phase: playing
2026-06-18 11:02:15, tokens_remaining: 2435, call: scores, phase: playing
2026-06-18 11:02:16, tokens_remaining: 2435, call: scores, phase: playing
2026-06-18 11:02:16, tokens_remaining: 2435, call: scores, phase: playing
2026-06-18 11:02:16, tokens_remaining: 2435, call: scores, phase: playing
2026-06-18 11:02:17, tokens_remaining: 2434, call: scores, phase: playing
2026-06-18 11:02:17, tokens_remaining: 2434, call: scores, phase: playing
2026-06-18 11:02:17, tokens_remaining: 2434, call: scores, phase: playing
2026-06-18 11:02:17, tokens_remaining: 2434, call: scores, phase: playing
2026-06-18 11:02:18, tokens_remaining: 2433, call: events, phase: playing
2026-06-18 11:02:18, tokens_remaining: 2432, call: scores, phase: playing
2026-06-18 11:02:18, tokens_remaining: 2432, call: scores, phase: playing
2026-06-18 11:02:19, tokens_remaining: 2432, call: scores, phase: playing
2026-06-18 11:02:19, tokens_remaining: 2432, call: scores, phase: playing
2026-06-18 11:02:19, tokens_remaining: 2432, call: scores, phase: playing
2026-06-18 11:02:19, tokens_remaining: 2431, call: scores, phase: playing
2026-06-18 11:02:20, tokens_remaining: 2431, call: scores, phase: playing
2026-06-18 11:02:20, tokens_remaining: 2431, call: scores, phase: playing
2026-06-18 11:02:20, tokens_remaining: 2431, call: scores, phase: playing
2026-06-18 11:02:21, tokens_remaining: 2430, call: events, phase: playing
2026-06-18 11:02:21, tokens_remaining: 2429, call: scores, phase: playing
2026-06-18 11:02:21, tokens_remaining: 2429, call: scores, phase: playing
2026-06-18 11:02:22, tokens_remaining: 2429, call: scores, phase: playing
2026-06-18 11:02:22, tokens_remaining: 2429, call: scores, phase: playing
2026-06-18 11:02:22, tokens_remaining: 2429, call: scores, phase: playing
2026-06-18 11:02:23, tokens_remaining: 2428, call: scores, phase: playing
2026-06-18 11:02:23, tokens_remaining: 2428, call: scores, phase: playing
2026-06-18 11:02:23, tokens_remaining: 2428, call: scores, phase: playing
2026-06-18 11:02:23, tokens_remaining: 2428, call: scores, phase: playing
2026-06-18 11:02:24, tokens_remaining: 2427, call: events, phase: playing
2026-06-18 11:02:24, tokens_remaining: 2426, call: scores, phase: playing
2026-06-18 11:02:24, tokens_remaining: 2426, call: scores, phase: playing
2026-06-18 11:02:25, tokens_remaining: 2426, call: scores, phase: playing
2026-06-18 11:02:25, tokens_remaining: 2426, call: scores, phase: playing
2026-06-18 11:02:25, tokens_remaining: 2426, call: scores, phase: playing
2026-06-18 11:02:25, tokens_remaining: 2425, call: scores, phase: playing
2026-06-18 11:02:26, tokens_remaining: 2425, call: scores, phase: playing
2026-06-18 11:02:26, tokens_remaining: 2425, call: scores, phase: playing
2026-06-18 11:02:26, tokens_remaining: 2425, call: scores, phase: playing
2026-06-18 11:02:27, tokens_remaining: 2424, call: events, phase: playing
2026-06-18 11:02:27, tokens_remaining: 2423, call: scores, phase: playing
2026-06-18 11:02:27, tokens_remaining: 2423, call: scores, phase: playing
2026-06-18 11:02:27, tokens_remaining: 2423, call: scores, phase: playing
2026-06-18 11:02:28, tokens_remaining: 2423, call: scores, phase: playing
2026-06-18 11:02:28, tokens_remaining: 2423, call: scores, phase: playing
2026-06-18 11:02:28, tokens_remaining: 2422, call: scores, phase: playing
2026-06-18 11:02:29, tokens_remaining: 2422, call: scores, phase: playing
2026-06-18 11:02:29, tokens_remaining: 2422, call: scores, phase: playing
2026-06-18 11:02:29, tokens_remaining: 2422, call: scores, phase: playing
2026-06-18 11:02:29, tokens_remaining: 2421, call: events, phase: playing
2026-06-18 11:02:30, tokens_remaining: 2420, call: scores, phase: playing
2026-06-18 11:02:30, tokens_remaining: 2420, call: scores, phase: playing
2026-06-18 11:02:30, tokens_remaining: 2420, call: scores, phase: playing
