2026-06-16 15:11:09, tokens_remaining: 1970, call: events, phase: playing
2026-06-16 15:11:11, tokens_remaining: 1969, call: scores, phase: playing
2026-06-16 15:11:12, tokens_remaining: 1968, call: scores, phase: playing
2026-06-16 15:11:13, tokens_remaining: 1967, call: scores, phase: playing
2026-06-16 15:11:15, tokens_remaining: 1966, call: scores, phase: playing
2026-06-16 15:11:16, tokens_remaining: 1965, call: scores, phase: playing
2026-06-16 15:11:17, tokens_remaining: 1964, call: scores, phase: playing
2026-06-16 15:11:19, tokens_remaining: 1963, call: scores, phase: playing
2026-06-16 15:11:20, tokens_remaining: 1962, call: scores, phase: playing
2026-06-16 15:11:21, tokens_remaining: 1961, call: scores, phase: playing
2026-06-16 15:11:23, tokens_remaining: 1960, call: events, phase: playing
2026-06-16 15:11:24, tokens_remaining: 1959, call: scores, phase: playing
2026-06-16 15:11:25, tokens_remaining: 1958, call: scores, phase: playing
2026-06-16 15:11:27, tokens_remaining: 1957, call: scores, phase: playing
2026-06-16 15:11:28, tokens_remaining: 1956, call: scores, phase: playing
2026-06-16 15:11:29, tokens_remaining: 1955, call: scores, phase: playing
2026-06-16 15:11:31, tokens_remaining: 1954, call: scores, phase: playing
2026-06-16 15:11:32, tokens_remaining: 1953, call: scores, phase: playing
2026-06-16 15:11:33, tokens_remaining: 1952, call: scores, phase: playing
2026-06-16 15:11:34, tokens_remaining: 1951, call: scores, phase: playing
2026-06-16 15:11:36, tokens_remaining: 1950, call: events, phase: playing
2026-06-16 15:11:37, tokens_remaining: 1949, call: scores, phase: playing
2026-06-16 15:11:38, tokens_remaining: 1948, call: scores, phase: playing
2026-06-16 15:11:40, tokens_remaining: 1947, call: scores, phase: playing
2026-06-16 15:11:41, tokens_remaining: 1946, call: scores, phase: playing
2026-06-16 15:11:42, tokens_remaining: 1945, call: scores, phase: playing
2026-06-16 15:11:44, tokens_remaining: 1944, call: scores, phase: playing
2026-06-16 15:11:45, tokens_remaining: 1943, call: scores, phase: playing
2026-06-16 15:11:46, tokens_remaining: 1942, call: scores, phase: playing
2026-06-16 15:11:48, tokens_remaining: 1941, call: scores, phase: playing
2026-06-16 15:11:49, tokens_remaining: 1940, call: events, phase: playing
2026-06-16 15:11:50, tokens_remaining: 1939, call: scores, phase: playing
2026-06-16 15:11:52, tokens_remaining: 1938, call: scores, phase: playing
2026-06-16 15:11:53, tokens_remaining: 1937, call: scores, phase: playing
2026-06-16 15:11:54, tokens_remaining: 1936, call: scores, phase: playing
2026-06-16 15:11:56, tokens_remaining: 1935, call: scores, phase: playing
