2026-06-15 04:00:11, tokens_remaining: 2469, call: scores, phase: idle
2026-06-15 04:01:12, tokens_remaining: 2468, call: scores, phase: idle
2026-06-15 04:02:13, tokens_remaining: 2467, call: scores, phase: idle
2026-06-15 04:03:13, tokens_remaining: 2466, call: events, phase: idle
2026-06-15 04:04:13, tokens_remaining: 2465, call: scores, phase: idle
2026-06-15 04:05:14, tokens_remaining: 2464, call: scores, phase: idle
2026-06-15 04:06:15, tokens_remaining: 2463, call: scores, phase: idle
2026-06-15 04:07:15, tokens_remaining: 2462, call: scores, phase: idle
2026-06-15 04:08:16, tokens_remaining: 2461, call: scores, phase: idle
2026-06-15 04:09:16, tokens_remaining: 2460, call: scores, phase: idle
2026-06-15 04:10:17, tokens_remaining: 2459, call: scores, phase: idle
2026-06-15 04:11:17, tokens_remaining: 2458, call: scores, phase: idle
2026-06-15 04:12:18, tokens_remaining: 2457, call: scores, phase: idle
2026-06-15 04:13:19, tokens_remaining: 2456, call: events, phase: idle
2026-06-15 04:14:19, tokens_remaining: 2455, call: scores, phase: idle
2026-06-15 04:15:20, tokens_remaining: 2454, call: scores, phase: idle
2026-06-15 04:16:20, tokens_remaining: 2453, call: scores, phase: idle
2026-06-15 04:17:21, tokens_remaining: 2452, call: scores, phase: idle
2026-06-15 04:18:22, tokens_remaining: 2451, call: scores, phase: idle
2026-06-15 04:19:22, tokens_remaining: 2450, call: scores, phase: idle
2026-06-15 04:20:23, tokens_remaining: 2449, call: scores, phase: idle
2026-06-15 04:21:23, tokens_remaining: 2448, call: scores, phase: idle
2026-06-15 04:22:24, tokens_remaining: 2447, call: scores, phase: idle
2026-06-15 04:23:24, tokens_remaining: 2446, call: events, phase: idle
2026-06-15 04:24:25, tokens_remaining: 2445, call: scores, phase: idle
2026-06-15 04:25:26, tokens_remaining: 2444, call: scores, phase: idle
2026-06-15 04:26:26, tokens_remaining: 2443, call: scores, phase: idle
2026-06-15 04:27:27, tokens_remaining: 2442, call: scores, phase: idle
2026-06-15 04:28:27, tokens_remaining: 2441, call: scores, phase: idle
2026-06-15 04:29:28, tokens_remaining: 2440, call: scores, phase: idle
2026-06-15 04:30:28, tokens_remaining: 2500, call: scores, phase: idle
2026-06-15 04:31:29, tokens_remaining: 2499, call: scores, phase: idle
2026-06-15 04:32:30, tokens_remaining: 2498, call: scores, phase: idle
2026-06-15 04:33:30, tokens_remaining: 2497, call: events, phase: idle
2026-06-15 04:34:31, tokens_remaining: 2496, call: scores, phase: idle
2026-06-15 04:35:31, tokens_remaining: 2495, call: scores, phase: idle
2026-06-15 04:36:32, tokens_remaining: 2494, call: scores, phase: idle
2026-06-15 04:37:33, tokens_remaining: 2499, call: scores, phase: idle
2026-06-15 04:38:33, tokens_remaining: 2498, call: scores, phase: idle
2026-06-15 04:39:34, tokens_remaining: 2497, call: scores, phase: idle
2026-06-15 04:40:34, tokens_remaining: 2496, call: scores, phase: idle
2026-06-15 04:41:35, tokens_remaining: 2495, call: scores, phase: idle
2026-06-15 04:42:35, tokens_remaining: 2494, call: scores, phase: idle
2026-06-15 04:43:36, tokens_remaining: 2493, call: events, phase: idle
2026-06-15 04:44:36, tokens_remaining: 2492, call: scores, phase: idle
2026-06-15 04:45:37, tokens_remaining: 2491, call: scores, phase: idle
2026-06-15 04:46:37, tokens_remaining: 2490, call: scores, phase: idle
2026-06-15 04:47:38, tokens_remaining: 2489, call: scores, phase: idle
2026-06-15 04:48:38, tokens_remaining: 2488, call: scores, phase: idle
2026-06-15 04:49:39, tokens_remaining: 2487, call: scores, phase: idle
2026-06-15 04:50:40, tokens_remaining: 2486, call: scores, phase: idle
2026-06-15 04:51:40, tokens_remaining: 2485, call: scores, phase: idle
2026-06-15 04:52:41, tokens_remaining: 2484, call: scores, phase: idle
2026-06-15 04:53:41, tokens_remaining: 2483, call: events, phase: idle
2026-06-15 04:54:42, tokens_remaining: 2482, call: scores, phase: idle
2026-06-15 04:55:42, tokens_remaining: 2481, call: scores, phase: idle
2026-06-15 04:56:43, tokens_remaining: 2480, call: scores, phase: idle
2026-06-15 04:57:44, tokens_remaining: 2479, call: scores, phase: idle
2026-06-15 04:58:44, tokens_remaining: 2478, call: scores, phase: idle
2026-06-15 04:59:45, tokens_remaining: 2477, call: scores, phase: idle
